"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CUTERVO (000)",34094,564,14675,10553,3034,1015,410,128,19,,3696
"Conviviente (001)",13768,240,6607,4113,1077,352,135,31,4,,1209
"Separado(a) (002)",2197,66,906,717,248,102,41,12,1,,104
"Casado(a) (003)",11968,140,5207,4129,1189,361,156,48,5,,733
"Viudo(a) (004)",2766,82,1194,910,239,74,29,20,6,,212
"Divorciado(a) (005)",201,3,80,61,24,7,3,1,1,,21
"Soltero(a) (006)",3194,33,681,623,257,119,46,16,2,,1417
,,,,,,,,,,,
"URBANA (008)",7339,110,2483,2259,932,342,157,55,7,,994
"Conviviente (009)",2454,35,951,765,281,104,42,13,,,263
"Separado(a) (010)",613,20,235,184,82,39,16,8,1,,28
"Casado(a) (011)",2707,30,898,954,415,139,71,16,2,,182
"Viudo(a) (012)",544,18,218,154,58,24,8,10,2,,52
"Divorciado(a) (013)",66,1,26,19,11,2,2,,1,,4
"Soltero(a) (014)",955,6,155,183,85,34,18,8,1,,465
,,,,,,,,,,,
"RURAL (016)",26755,454,12192,8294,2102,673,253,73,12,,2702
"Conviviente (017)",11314,205,5656,3348,796,248,93,18,4,,946
"Separado(a) (018)",1584,46,671,533,166,63,25,4,,,76
"Casado(a) (019)",9261,110,4309,3175,774,222,85,32,3,,551
"Viudo(a) (020)",2222,64,976,756,181,50,21,10,4,,160
"Divorciado(a) (021)",135,2,54,42,13,5,1,1,,,17
"Soltero(a) (022)",2239,27,526,440,172,85,28,8,1,,952
