"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TAMBOPATA (000)",3630,2862,768
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",724,688,36
"Hospital, clinica (004)",147,144,3
"Cárcel, centro de readaptación social (005)",385,385,
"Aldea infantil, orfelinato, etc (007)",144,142,2
"Otro (008)",1502,886,616
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",728,617,111
