"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CAÑETE (000)",86841,12099,24316,20966,29460
"Asiste actualmente (001)",61645,7933,23665,19492,10555
"No asiste (002)",25196,4166,651,1474,18905
"Hombres (004)",43869,6192,12302,10662,14713
"Asiste actualmente (005)",30948,3992,11969,9900,5087
"No asiste (006)",12921,2200,333,762,9626
"Mujeres (008)",42972,5907,12014,10304,14747
"Asiste actualmente (009)",30697,3941,11696,9592,5468
"No asiste (010)",12275,1966,318,712,9279
,,,,,
"URBANA (012)",73444,10241,20628,17765,24810
"Asiste actualmente (013)",52476,6753,20079,16522,9122
"No asiste (014)",20968,3488,549,1243,15688
"Hombres (016)",36997,5222,10436,9037,12302
"Asiste actualmente (017)",26299,3393,10155,8385,4366
"No asiste (018)",10698,1829,281,652,7936
"Mujeres (020)",36447,5019,10192,8728,12508
"Asiste actualmente (021)",26177,3360,9924,8137,4756
"No asiste (022)",10270,1659,268,591,7752
,,,,,
"RURAL (024)",13397,1858,3688,3201,4650
"Asiste actualmente (025)",9169,1180,3586,2970,1433
"No asiste (026)",4228,678,102,231,3217
"Hombres (028)",6872,970,1866,1625,2411
"Asiste actualmente (029)",4649,599,1814,1515,721
"No asiste (030)",2223,371,52,110,1690
"Mujeres (032)",6525,888,1822,1576,2239
"Asiste actualmente (033)",4520,581,1772,1455,712
"No asiste (034)",2005,307,50,121,1527
