"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUARMEY (000)",506,8,269,126,84,19
"Sin nivel (001)",13,1,1,2,6,3
"Educación inicial (002)",1,,1,,,
"Primaria (003)",100,4,36,21,29,10
"Secundaria (004)",247,3,152,56,32,4
"Superior no univ. incompleta (005)",35,,21,12,2,
"Superior no univ. completa (006)",41,,22,14,5,
"Superior univ. incompleta (007)",28,,21,4,3,
"Superior univ. completa (008)",41,,15,17,7,2
"Hombres (010)",355,6,182,82,66,19
"Sin nivel (011)",6,1,,1,1,3
"Educación inicial (012)",1,,1,,,
"Primaria (013)",72,3,25,10,24,10
"Secundaria (014)",187,2,110,42,29,4
"Superior no univ. incompleta (015)",25,,14,9,2,
"Superior no univ. completa (016)",24,,14,8,2,
"Superior univ. incompleta (017)",17,,11,3,3,
"Superior univ. completa (018)",23,,7,9,5,2
"Mujeres (020)",151,2,87,44,18,
"Sin nivel (021)",7,,1,1,5,
"Primaria (023)",28,1,11,11,5,
"Secundaria (024)",60,1,42,14,3,
"Superior no univ. incompleta (025)",10,,7,3,,
"Superior no univ. completa (026)",17,,8,6,3,
"Superior univ. incompleta (027)",11,,10,1,,
"Superior univ. completa (028)",18,,8,8,2,
,,,,,,
"Area Urbana (030)",409,3,203,112,75,16
"Sin nivel (031)",12,,1,2,6,3
"Educación inicial (032)",1,,1,,,
"Primaria (033)",65,,16,18,24,7
"Secundaria (034)",196,3,112,49,28,4
"Superior no univ. incompleta (035)",32,,20,10,2,
"Superior no univ. completa (036)",39,,20,14,5,
"Superior univ. incompleta (037)",28,,21,4,3,
"Superior univ. completa (038)",36,,12,15,7,2
"Hombres (040)",278,2,133,70,57,16
"Sin nivel (041)",5,,,1,1,3
"Educación inicial (042)",1,,1,,,
"Primaria (043)",46,,12,8,19,7
"Secundaria (044)",145,2,78,36,25,4
"Superior no univ. incompleta (045)",22,,13,7,2,
"Superior no univ. completa (046)",22,,12,8,2,
"Superior univ. incompleta (047)",17,,11,3,3,
"Superior univ. completa (048)",20,,6,7,5,2
"Mujeres (050)",131,1,70,42,18,
"Sin nivel (051)",7,,1,1,5,
"Primaria (053)",19,,4,10,5,
"Secundaria (054)",51,1,34,13,3,
"Superior no univ. incompleta (055)",10,,7,3,,
"Superior no univ. completa (056)",17,,8,6,3,
"Superior univ. incompleta (057)",11,,10,1,,
"Superior univ. completa (058)",16,,6,8,2,
,,,,,,
"Area Rural (060)",97,5,66,14,9,3
"Sin nivel (061)",1,1,,,,
"Primaria (063)",35,4,20,3,5,3
"Secundaria (064)",51,,40,7,4,
"Superior no univ. incompleta (065)",3,,1,2,,
"Superior no univ. completa (066)",2,,2,,,
"Superior univ. completa (068)",5,,3,2,,
"Hombres (070)",77,4,49,12,9,3
"Sin nivel (071)",1,1,,,,
"Primaria (073)",26,3,13,2,5,3
"Secundaria (074)",42,,32,6,4,
"Superior no univ. incompleta (075)",3,,1,2,,
"Superior no univ. completa (076)",2,,2,,,
"Superior univ. completa (078)",3,,1,2,,
"Mujeres (080)",20,1,17,2,,
"Primaria (083)",9,1,7,1,,
"Secundaria (084)",9,,8,1,,
"Superior univ. completa (088)",2,,2,,,
