"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia JUNIN (000)",662,207,455
"Sin nivel (001)",36,4,32
"Educación inicial (002)",1,,1
"Primaria (003)",126,30,96
"Secundaria (004)",271,92,179
"Superior no univ. incompleta (005)",42,14,28
"Superior no univ. completa (006)",93,37,56
"Superior univ. incompleta (007)",30,8,22
"Superior univ. completa (008)",63,22,41
"Hombres (010)",502,146,356
"Sin nivel (011)",23,3,20
"Educación inicial (012)",1,,1
"Primaria (013)",102,23,79
"Secundaria (014)",219,68,151
"Superior no univ. incompleta (015)",33,11,22
"Superior no univ. completa (016)",54,19,35
"Superior univ. incompleta (017)",26,5,21
"Superior univ. completa (018)",44,17,27
"Mujeres (020)",160,61,99
"Sin nivel (021)",13,1,12
"Primaria (023)",24,7,17
"Secundaria (024)",52,24,28
"Superior no univ. incompleta (025)",9,3,6
"Superior no univ. completa (026)",39,18,21
"Superior univ. incompleta (027)",4,3,1
"Superior univ. completa (028)",19,5,14
,,,
"AREA URBANA (030)",571,169,402
"Sin nivel (031)",34,4,30
"Educación inicial (032)",1,,1
"Primaria (033)",100,17,83
"Secundaria (034)",238,72,166
"Superior no univ. incompleta (035)",34,14,20
"Superior no univ. completa (036)",83,35,48
"Superior univ. incompleta (037)",24,8,16
"Superior univ. completa (038)",57,19,38
"Hombres (040)",428,117,311
"Sin nivel (041)",22,3,19
"Educación inicial (042)",1,,1
"Primaria (043)",81,13,68
"Secundaria (044)",192,53,139
"Superior no univ. incompleta (045)",26,11,15
"Superior no univ. completa (046)",48,18,30
"Superior univ. incompleta (047)",20,5,15
"Superior univ. completa (048)",38,14,24
"Mujeres (050)",143,52,91
"Sin nivel (051)",12,1,11
"Primaria (053)",19,4,15
"Secundaria (054)",46,19,27
"Superior no univ. incompleta (055)",8,3,5
"Superior no univ. completa (056)",35,17,18
"Superior univ. incompleta (057)",4,3,1
"Superior univ. completa (058)",19,5,14
,,,
"AREA RURAL (060)",91,38,53
"Sin nivel (061)",2,,2
"Primaria (063)",26,13,13
"Secundaria (064)",33,20,13
"Superior no univ. incompleta (065)",8,,8
"Superior no univ. completa (066)",10,2,8
"Superior univ. incompleta (067)",6,,6
"Superior univ. completa (068)",6,3,3
"Hombres (070)",74,29,45
"Sin nivel (071)",1,,1
"Primaria (073)",21,10,11
"Secundaria (074)",27,15,12
"Superior no univ. incompleta (075)",7,,7
"Superior no univ. completa (076)",6,1,5
"Superior univ. incompleta (077)",6,,6
"Superior univ. completa (078)",6,3,3
"Mujeres (080)",17,9,8
"Sin nivel (081)",1,,1
"Primaria (083)",5,3,2
"Secundaria (084)",6,5,1
"Superior no univ. incompleta (085)",1,,1
"Superior no univ. completa (086)",4,1,3
