"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CASTROVIRREYNA (000)",6492,1124,1625,2755,32,906,50
"Sin nivel (001)",369,2,39,227,2,96,3
"Educación inicial (002)",3,,1,,,2,
"Primaria (003)",2117,17,395,1232,5,455,13
"Secundaria (004)",2520,205,931,1030,14,310,30
"Superior no univ. incompleta (005)",279,81,72,104,2,18,2
"Superior no univ. completa (006)",569,344,111,95,4,14,1
"Superior univ. incompleta (007)",129,63,34,27,1,4,
"Superior univ. completa (008)",506,412,42,40,4,7,1
"Hombres (010)",4531,698,1489,1944,21,370,9
"Sin nivel (011)",111,,23,70,1,17,
"Educación inicial (012)",2,,1,,,1,
"Primaria (013)",1371,5,333,874,3,152,4
"Secundaria (014)",1995,129,892,789,8,173,4
"Superior no univ. incompleta (015)",229,61,66,89,2,11,
"Superior no univ. completa (016)",375,195,100,70,2,8,
"Superior univ. incompleta (017)",106,44,33,24,1,4,
"Superior univ. completa (018)",342,264,41,28,4,4,1
"Mujeres (020)",1961,426,136,811,11,536,41
"Sin nivel (021)",258,2,16,157,1,79,3
"Educación inicial (022)",1,,,,,1,
"Primaria (023)",746,12,62,358,2,303,9
"Secundaria (024)",525,76,39,241,6,137,26
"Superior no univ. incompleta (025)",50,20,6,15,,7,2
"Superior no univ. completa (026)",194,149,11,25,2,6,1
"Superior univ. incompleta (027)",23,19,1,3,,,
"Superior univ. completa (028)",164,148,1,12,,3,
,,,,,,,
"URBANA (030)",2630,803,884,710,12,182,39
"Sin nivel (031)",58,1,13,34,1,6,3
"Educación inicial (032)",1,,1,,,,
"Primaria (033)",517,7,188,228,1,83,10
"Secundaria (034)",1088,142,534,308,6,76,22
"Superior no univ. incompleta (035)",163,55,51,45,1,9,2
"Superior no univ. completa (036)",361,241,60,50,2,7,1
"Superior univ. incompleta (037)",75,43,16,15,,1,
"Superior univ. completa (038)",367,314,21,30,1,,1
"Hombres (040)",1854,480,829,452,7,81,5
"Sin nivel (041)",20,,11,8,,1,
"Educación inicial (042)",1,,1,,,,
"Primaria (043)",344,1,167,143,,31,2
"Secundaria (044)",858,93,517,205,4,37,2
"Superior no univ. incompleta (045)",125,37,46,35,1,6,
"Superior no univ. completa (046)",212,126,52,28,1,5,
"Superior univ. incompleta (047)",60,30,15,14,,1,
"Superior univ. completa (048)",234,193,20,19,1,,1
"Mujeres (050)",776,323,55,258,5,101,34
"Sin nivel (051)",38,1,2,26,1,5,3
"Primaria (053)",173,6,21,85,1,52,8
"Secundaria (054)",230,49,17,103,2,39,20
"Superior no univ. incompleta (055)",38,18,5,10,,3,2
"Superior no univ. completa (056)",149,115,8,22,1,2,1
"Superior univ. incompleta (057)",15,13,1,1,,,
"Superior univ. completa (058)",133,121,1,11,,,
,,,,,,,
"RURAL (060)",3862,321,741,2045,20,724,11
"Sin nivel (061)",311,1,26,193,1,90,
"Educación inicial (062)",2,,,,,2,
"Primaria (063)",1600,10,207,1004,4,372,3
"Secundaria (064)",1432,63,397,722,8,234,8
"Superior no univ. incompleta (065)",116,26,21,59,1,9,
"Superior no univ. completa (066)",208,103,51,45,2,7,
"Superior univ. incompleta (067)",54,20,18,12,1,3,
"Superior univ. completa (068)",139,98,21,10,3,7,
"Hombres (070)",2677,218,660,1492,14,289,4
"Sin nivel (071)",91,,12,62,1,16,
"Educación inicial (072)",1,,,,,1,
"Primaria (073)",1027,4,166,731,3,121,2
"Secundaria (074)",1137,36,375,584,4,136,2
"Superior no univ. incompleta (075)",104,24,20,54,1,5,
"Superior no univ. completa (076)",163,69,48,42,1,3,
"Superior univ. incompleta (077)",46,14,18,10,1,3,
"Superior univ. completa (078)",108,71,21,9,3,4,
"Mujeres (080)",1185,103,81,553,6,435,7
"Sin nivel (081)",220,1,14,131,,74,
"Educación inicial (082)",1,,,,,1,
"Primaria (083)",573,6,41,273,1,251,1
"Secundaria (084)",295,27,22,138,4,98,6
"Superior no univ. incompleta (085)",12,2,1,5,,4,
"Superior no univ. completa (086)",45,34,3,3,1,4,
"Superior univ. incompleta (087)",8,6,,2,,,
"Superior univ. completa (088)",31,27,,1,,3,
