"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PACHITEA (000)",19450,18937,5993,2501,2083,1634,2470,1796,1282,1178,513,58236
"De 12 a 14 años (001)",2419,2408,2397,11,,,,,,,11,11
"De 15 a 19 años (002)",2920,2877,2194,567,103,12,1,,,,43,813
"De 20 a 24 años (003)",2664,2511,697,903,612,222,71,6,,,153,3129
"De 25 a 29 años (004)",2273,2146,248,431,572,449,385,59,2,,127,4953
"De 30 a 34 años (005)",1808,1754,115,209,310,324,517,217,51,11,54,5982
"De 35 a 39 años (006)",1659,1624,81,116,172,229,476,350,149,51,35,7318
"De 40 a 44 años (007)",1262,1242,39,64,76,130,296,287,213,137,20,7089
"De 45 a 49 años (008)",1061,1045,47,45,61,66,210,218,196,202,16,6653
"De 50 y más años (009)",3384,3330,175,155,177,202,514,659,671,777,54,22288
"PEA (010)",2430,2325,674,426,287,212,325,178,133,90,105,6361
"De 12 a 14 años (011)",53,51,51,,,,,,,,2,
"De 15 a 19 años (012)",325,320,258,60,2,,,,,,5,64
"De 20 a 24 años (013)",389,358,157,118,54,23,5,1,,,31,323
"De 25 a 29 años (014)",374,335,101,92,80,32,26,3,1,,39,486
"De 30 a 34 años (015)",266,254,26,68,49,45,53,7,4,2,12,632
"De 35 a 39 años (016)",278,271,26,38,45,42,70,36,14,,7,910
"De 40 a 44 años (017)",177,175,7,12,13,36,48,29,18,12,2,824
"De 45 a 49 años (018)",172,170,16,14,14,14,54,29,13,16,2,798
"De 50 y más años (019)",396,391,32,24,30,20,69,73,83,60,5,2324
"Ocupada (020)",2152,2083,537,383,268,200,306,170,130,89,69,6074
"De 12 a 14 años (021)",47,45,45,,,,,,,,2,
"De 15 a 19 años (022)",247,244,189,53,2,,,,,,3,57
