"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PISCO (000)",45715,26553,5335,5097,8730
"Empleado (001)",10677,3011,1483,2290,3893
"Obrero (002)",16250,6332,2425,2708,4785
"Trabajador independiente (003)",15679,14495,1184,,
"Empleador o patrono (004)",686,482,107,64,33
"Trabajador familiar no remunerado (005)",1762,1572,136,35,19
"Trabajador del hogar (006)",661,661,,,
"De 06 a 14 años (008)",570,468,54,35,13
"Empleado (009)",51,45,4,2,
"Obrero (010)",140,78,25,24,13
"Trabajador independiente (011)",118,113,5,,
"Empleador o patrono (012)",2,2,,,
"Trabajador familiar no remunerado (013)",245,216,20,9,
"Trabajador del hogar (014)",14,14,,,
"De 15 a 29 años (016)",15844,8671,2135,1916,3122
"Empleado (017)",3653,1325,583,693,1052
"Obrero (018)",6903,2609,1048,1197,2049
"Trabajador independiente (019)",4174,3762,412,,
"Empleador o patrono (020)",134,91,21,11,11
"Trabajador familiar no remunerado (021)",689,593,71,15,10
"Trabajador del hogar (022)",291,291,,,
"De 30 a 44 años (024)",16747,9172,1970,1998,3607
"Empleado (025)",4341,1013,585,1023,1720
"Obrero (026)",5742,2060,865,944,1873
"Trabajador independiente (027)",5780,5328,452,,
"Empleador o patrono (028)",259,175,46,26,12
"Trabajador familiar no remunerado (029)",424,395,22,5,2
"Trabajador del hogar (030)",201,201,,,
"De 45 a 64 años (032)",10923,6892,1058,1081,1892
"Empleado (033)",2465,557,280,550,1078
"Obrero (034)",3122,1365,446,507,804
"Trabajador independiente (035)",4647,4369,278,,
"Empleador o patrono (036)",230,165,38,20,7
"Trabajador familiar no remunerado (037)",315,292,16,4,3
"Trabajador del hogar (038)",144,144,,,
"De 65 y más años (040)",1631,1350,118,67,96
"Empleado (041)",167,71,31,22,43
"Obrero (042)",343,220,41,36,46
"Trabajador independiente (043)",960,923,37,,
"Empleador o patrono (044)",61,49,2,7,3
"Trabajador familiar no remunerado (045)",89,76,7,2,4
"Trabajador del hogar (046)",11,11,,,
,,,,,
"URBANA (048)",39923,21982,4925,4795,8221
"Empleado (049)",10123,2840,1415,2205,3663
"Obrero (050)",13868,4656,2208,2497,4507
"Trabajador independiente (051)",13459,12374,1085,,
"Empleador o patrono (052)",609,410,102,64,33
