"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia YUNGUYO (000)",13233,9843,3390
"Red pública dentro de la vivienda (001)",4160,3496,664
"Red pública fuera de la vivienda (002)",489,356,133
"Pilón de uso público (003)",528,310,218
"Camión - cisterna u otro similar (004)",24,17,7
"Pozo (005)",2605,1732,873
"Río, acequia, manatial o similar (006)",4311,3459,852
"Vecino (007)",905,427,478
"Otro (008)",211,46,165
,,,
"URBANA (010)",4466,3408,1058
"Red pública dentro de la vivienda (011)",2455,2044,411
"Red pública fuera de la vivienda (012)",229,167,62
"Pilón de uso público (013)",407,222,185
"Camión - cisterna u otro similar (014)",15,9,6
"Pozo (015)",516,354,162
"Río, acequia, manatial o similar (016)",530,454,76
"Vecino (017)",236,124,112
"Otro (018)",78,34,44
,,,
"RURAL (020)",8767,6435,2332
"Red pública dentro de la vivienda (021)",1705,1452,253
"Red pública fuera de la vivienda (022)",260,189,71
"Pilón de uso público (023)",121,88,33
"Camión - cisterna u otro similar (024)",9,8,1
"Pozo (025)",2089,1378,711
"Río, acequia, manatial o similar (026)",3781,3005,776
"Vecino (027)",669,303,366
"Otro (028)",133,12,121
