"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",10161,1646,270,3658,3302,341,547,98,299
"Jefe o Jefa (001)",3264,557,4,1127,998,131,227,38,182
"Esposa(o)/ compa¤era(o) (002)",1659,313,3,577,492,67,137,10,60
"Hijo(a)/ hijastro(a) (003)",3836,488,205,1503,1370,107,98,35,30
"Yerno/ nuera (004)",108,,1,19,63,6,11,3,5
"Nieto(a) (005)",435,105,45,174,101,4,4,1,1
"Padres/ suegros (006)",149,84,,59,5,,1,,
"Otro(a) pariente (007)",526,88,10,165,193,21,31,9,9
"Trabajador(a) del hogar (008)",17,,,6,11,,,,
"Pensionista (009)",13,,,,8,,4,,1
"Otro(a) no pariente (010)",154,11,2,28,61,5,34,2,11
"Hombres (012)",5082,551,140,1815,1889,186,264,60,177
"Jefe o Jefa (013)",2165,202,2,756,789,104,157,31,124
"Esposa(o)/ compa¤era(o) (014)",136,14,,44,45,10,10,2,11
"Hijo(a)/ hijastro(a) (015)",2059,245,108,783,774,57,50,19,23
"Yerno/ nuera (016)",57,,,10,35,2,7,,3
"Nieto(a) (017)",211,48,24,77,59,1,1,,1
"Padres/ suegros (018)",50,13,,33,3,,1,,
"Otro(a) pariente (019)",294,24,6,92,129,10,18,8,7
"Trabajador(a) del hogar (020)",3,,,3,,,,,
"Pensionista (021)",8,,,,4,,3,,1
"Otro(a) no pariente (022)",99,5,,17,51,2,17,,7
"Mujeres (024)",5079,1095,130,1843,1413,155,283,38,122
"Jefe o Jefa (025)",1099,355,2,371,209,27,70,7,58
"Esposa(o)/ compa¤era(o) (026)",1523,299,3,533,447,57,127,8,49
"Hijo(a)/ hijastro(a) (027)",1777,243,97,720,596,50,48,16,7
"Yerno/ nuera (028)",51,,1,9,28,4,4,3,2
"Nieto(a) (029)",224,57,21,97,42,3,3,1,
"Padres/ suegros (030)",99,71,,26,2,,,,
"Otro(a) pariente (031)",232,64,4,73,64,11,13,1,2
"Trabajador(a) del hogar (032)",14,,,3,11,,,,
"Pensionista (033)",5,,,,4,,1,,
"Otro(a) no pariente (034)",55,6,2,11,10,3,17,2,4
,,,,,,,,,
"URBANA (036)",6902,905,198,2285,2405,289,481,78,261
"Jefe o Jefa (037)",2192,271,2,663,754,116,201,31,154
"Esposa(o)/ compa¤era(o) (038)",1128,147,3,348,384,57,122,10,57
"Hijo(a)/ hijastro(a) (039)",2637,312,147,992,957,86,90,26,27
"Yerno/ nuera (040)",74,,1,8,43,4,11,2,5
"Nieto(a) (041)",276,64,34,101,68,4,3,1,1
"Padres/ suegros (042)",106,55,,46,5,,,,
"Otro(a) pariente (043)",348,51,9,105,131,17,22,6,7
"Trabajador(a) del hogar (044)",15,,,6,9,,,,
"Pensionista (045)",8,,,,6,,2,,
"Otro(a) no pariente (046)",118,5,2,16,48,5,30,2,10
"Hombres (048)",3429,287,107,1094,1357,157,225,48,154
"Jefe o Jefa (049)",1421,73,1,410,577,89,137,26,108
