"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia HUANCAVELICA (000)",77781,76343,1438
"Hombres (001)",36885,36385,500
"Mujeres (002)",40896,39958,938
"De 18 a 29 años (003)",28988,28381,607
"Hombres (004)",13971,13657,314
"Mujeres (005)",15017,14724,293
"De 30 a 44 años (006)",22954,22870,84
"Hombres (007)",10878,10846,32
"Mujeres (008)",12076,12024,52
"De 45 a 64 años (009)",17600,17456,144
"Hombres (010)",8340,8297,43
"Mujeres (011)",9260,9159,101
"De 65 y más años (012)",8239,7636,603
"Hombres (013)",3696,3585,111
"Mujeres (014)",4543,4051,492
,,,
"URBANA (015)",35714,35113,601
"Hombres (016)",16865,16638,227
"Mujeres (017)",18849,18475,374
"De 18 a 29 años (018)",13974,13650,324
"Hombres (019)",6768,6606,162
"Mujeres (020)",7206,7044,162
"De 30 a 44 años (021)",11117,11083,34
"Hombres (022)",5251,5236,15
"Mujeres (023)",5866,5847,19
"De 45 a 64 años (024)",7468,7418,50
"Hombres (025)",3521,3506,15
"Mujeres (026)",3947,3912,35
"De 65 y más años (027)",3155,2962,193
"Hombres (028)",1325,1290,35
"Mujeres (029)",1830,1672,158
,,,
"RURAL (030)",42067,41230,837
"Hombres (031)",20020,19747,273
"Mujeres (032)",22047,21483,564
"De 18 a 29 años (033)",15014,14731,283
"Hombres (034)",7203,7051,152
"Mujeres (035)",7811,7680,131
"De 30 a 44 años (036)",11837,11787,50
"Hombres (037)",5627,5610,17
"Mujeres (038)",6210,6177,33
"De 45 a 64 años (039)",10132,10038,94
"Hombres (040)",4819,4791,28
"Mujeres (041)",5313,5247,66
"De 65 y más años (042)",5084,4674,410
"Hombres (043)",2371,2295,76
"Mujeres (044)",2713,2379,334
