"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia MELGAR (000)",65258,17247,18964,13255,10338,5454
"Hombres (001)",31616,8720,9203,6232,4962,2499
"Mujeres (002)",33642,8527,9761,7023,5376,2955
"PEA (003)",25956,379,7510,8965,6855,2247
"Hombres (004)",15451,203,4412,5367,4116,1353
"Mujeres (005)",10505,176,3098,3598,2739,894
"Ocupada (006)",24305,359,6589,8456,6690,2211
"Hombres (007)",14281,189,3801,4987,3979,1325
"Mujeres (008)",10024,170,2788,3469,2711,886
"Desocupada (009)",1651,20,921,509,165,36
"Hombres (010)",1170,14,611,380,137,28
"Mujeres (011)",481,6,310,129,28,8
"No PEA (012)",39302,16868,11454,4290,3483,3207
"Hombres (013)",16165,8517,4791,865,846,1146
"Mujeres (014)",23137,8351,6663,3425,2637,2061
,,,,,,
"URBANA (018)",31337,8354,9605,6724,4453,2201
"Hombres (019)",14988,4217,4643,3076,2125,927
"Mujeres (020)",16349,4137,4962,3648,2328,1274
"PEA (021)",11290,144,3385,4372,2806,583
"Hombres (022)",6731,72,2052,2594,1674,339
"Mujeres (023)",4559,72,1333,1778,1132,244
"Ocupada (024)",10262,136,2854,4025,2694,553
"Hombres (025)",6039,67,1719,2349,1587,317
"Mujeres (026)",4223,69,1135,1676,1107,236
"Desocupada (027)",1028,8,531,347,112,30
"Hombres (028)",692,5,333,245,87,22
"Mujeres (029)",336,3,198,102,25,8
"No PEA (030)",20047,8210,6220,2352,1647,1618
"Hombres (031)",8257,4145,2591,482,451,588
"Mujeres (032)",11790,4065,3629,1870,1196,1030
,,,,,,
"RURAL (036)",33921,8893,9359,6531,5885,3253
"Hombres (037)",16628,4503,4560,3156,2837,1572
"Mujeres (038)",17293,4390,4799,3375,3048,1681
"PEA (039)",14666,235,4125,4593,4049,1664
"Hombres (040)",8720,131,2360,2773,2442,1014
"Mujeres (041)",5946,104,1765,1820,1607,650
"Ocupada (042)",14043,223,3735,4431,3996,1658
"Hombres (043)",8242,122,2082,2638,2392,1008
"Mujeres (044)",5801,101,1653,1793,1604,650
"Desocupada (045)",623,12,390,162,53,6
"Hombres (046)",478,9,278,135,50,6
"Mujeres (047)",145,3,112,27,3,
"No PEA (048)",19255,8658,5234,1938,1836,1589
"Hombres (049)",7908,4372,2200,383,395,558
"Mujeres (050)",11347,4286,3034,1555,1441,1031
