"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PURUS (000)",36,2,21,12,1,
"Conviviente (001)",15,,7,8,,
"Casado(a) (003)",3,,,3,,
"Soltero(a) (006)",18,2,14,1,1,
"Hombres (008)",31,1,17,12,1,
"Conviviente (009)",13,,5,8,,
"Casado(a) (011)",3,,,3,,
"Soltero(a) (014)",15,1,12,1,1,
"Mujeres (016)",5,1,4,,,
"Conviviente (017)",2,,2,,,
"Soltero(a) (022)",3,1,2,,,
,,,,,,
"AREA URBANA (024)",30,2,16,11,1,
"Conviviente (025)",12,,5,7,,
"Casado(a) (027)",3,,,3,,
"Soltero(a) (030)",15,2,11,1,1,
"Hombres (032)",25,1,12,11,1,
"Conviviente (033)",10,,3,7,,
"Casado(a) (035)",3,,,3,,
"Soltero(a) (038)",12,1,9,1,1,
"Mujeres (040)",5,1,4,,,
"Conviviente (041)",2,,2,,,
"Soltero(a) (046)",3,1,2,,,
,,,,,,
"AREA RURAL (048)",6,,5,1,,
"Conviviente (049)",3,,2,1,,
"Soltero(a) (054)",3,,3,,,
"Hombres (056)",6,,5,1,,
"Conviviente (057)",3,,2,1,,
"Soltero(a) (062)",3,,3,,,
