"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PUERTO INCA (000)",31032,804,11715,8265,5708,3575,965
"Hombres (001)",17013,398,6125,4502,3225,2176,587
"Mujeres (002)",14019,406,5590,3763,2483,1399,378
"Viviendas particulares (003)",30810,803,11703,8183,5622,3541,958
"Hombres (004)",16842,398,6118,4437,3158,2150,581
"Mujeres (005)",13968,405,5585,3746,2464,1391,377
"Viviendas colectivas (006)",168,1,11,61,65,25,5
"Hombres (007)",128,,6,49,50,19,4
"Mujeres (008)",40,1,5,12,15,6,1
"Otro tipo (009)",54,,1,21,21,9,2
"Hombres (010)",43,,1,16,17,7,2
"Mujeres (011)",11,,,5,4,2,
,,,,,,,
"URBANA (012)",6169,145,2141,1611,1279,774,219
"Hombres (013)",3218,75,1091,808,663,448,133
"Mujeres (014)",2951,70,1050,803,616,326,86
"Viviendas particulares (015)",5982,144,2129,1544,1203,749,213
"Hombres (016)",3078,75,1084,754,606,431,128
"Mujeres (017)",2904,69,1045,790,597,318,85
"Viviendas colectivas (018)",140,1,11,53,55,16,4
"Hombres (019)",100,,6,41,40,10,3
"Mujeres (020)",40,1,5,12,15,6,1
"Otro tipo (021)",47,,1,14,21,9,2
"Hombres (022)",40,,1,13,17,7,2
"Mujeres (023)",7,,,1,4,2,
,,,,,,,
"RURAL (024)",24863,659,9574,6654,4429,2801,746
"Hombres (025)",13795,323,5034,3694,2562,1728,454
"Mujeres (026)",11068,336,4540,2960,1867,1073,292
"Viviendas particulares (027)",24828,659,9574,6639,4419,2792,745
"Hombres (028)",13764,323,5034,3683,2552,1719,453
"Mujeres (029)",11064,336,4540,2956,1867,1073,292
"Viviendas colectivas (030)",28,,,8,10,9,1
"Hombres (031)",28,,,8,10,9,1
"Otro tipo (033)",7,,,7,,,
"Hombres (034)",3,,,3,,,
"Mujeres (035)",4,,,4,,,
