"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ALTO AMAZONAS (000)",34644,1190,12137,11775,8042,1500
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",49,,4,25,19,1
"Profes., científicos e intelectuales (002)",2333,,414,1284,615,20
"Técnicos de nivel medio y trab.asimilados (003)",928,2,350,381,179,16
"Jefes y empleados de oficina (004)",842,,334,291,211,6
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",3343,71,1158,1182,788,144
"Agricult.trabaj. calif. agrop. y pesqueros (006)",9802,2,2469,3486,3013,832
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",1343,32,479,451,335,46
"Obreros construc., conf., papel, fab., instr. (008)",2305,12,1026,812,430,25
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",11280,957,4864,3144,1997,318
"Otra (010)",72,,29,33,10,
"Ocupación no especificada (011)",1075,24,418,331,258,44
"Desocupado (012)",1272,90,592,355,187,48
"Hombres (013)",24678,814,8678,8301,5765,1120
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",36,,3,17,15,1
"Profes., científicos e intelectuales (015)",1387,,241,746,385,15
"Técnicos de nivel medio y trab.asimilados (016)",631,1,249,242,126,13
"Jefes y empleados de oficina (017)",394,,123,143,122,6
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",1438,39,523,480,320,76
"Agricult.trabaj. calif. agrop. y pesqueros (019)",8983,2,2238,3266,2745,732
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",1115,32,432,353,262,36
"Obreros construc., conf., papel, fab., instr. (021)",2255,12,1002,797,419,25
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",6774,655,3183,1748,1030,158
"Otra (023)",70,,27,33,10,
"Ocupación no especificada (024)",644,18,237,202,166,21
"Desocupado (025)",951,55,420,274,165,37
"Mujeres (026)",9966,376,3459,3474,2277,380
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",13,,1,8,4,
"Profes., científicos e intelectuales (028)",946,,173,538,230,5
"Técnicos de nivel medio y trab.asimilados (029)",297,1,101,139,53,3
"Jefes y empleados de oficina (030)",448,,211,148,89,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1905,32,635,702,468,68
"Agricult.trabaj. calif. agrop. y pesqueros (032)",819,,231,220,268,100
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",228,,47,98,73,10
