"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PALPA (000)",11461,2160,3381,2566,2171,1183
"Hombres (001)",5858,1105,1717,1273,1119,644
"Mujeres (002)",5603,1055,1664,1293,1052,539
"PEA (003)",5347,91,1683,1834,1416,323
"Hombres (004)",3570,63,1135,1153,967,252
"Mujeres (005)",1777,28,548,681,449,71
"Ocupada (006)",5170,89,1589,1798,1378,316
"Hombres (007)",3444,61,1080,1125,933,245
"Mujeres (008)",1726,28,509,673,445,71
"Desocupada (009)",177,2,94,36,38,7
"Hombres (010)",126,2,55,28,34,7
"Mujeres (011)",51,,39,8,4,
"No PEA (012)",6114,2069,1698,732,755,860
"Hombres (013)",2288,1042,582,120,152,392
"Mujeres (014)",3826,1027,1116,612,603,468
,,,,,,
"URBANA (018)",7537,1484,2215,1703,1404,731
"Hombres (019)",3748,764,1079,822,689,394
"Mujeres (020)",3789,720,1136,881,715,337
"PEA (021)",3494,74,1090,1228,911,191
"Hombres (022)",2191,49,686,730,581,145
"Mujeres (023)",1303,25,404,498,330,46
"Ocupada (024)",3374,73,1030,1202,884,185
"Hombres (025)",2103,48,650,709,557,139
"Mujeres (026)",1271,25,380,493,327,46
"Desocupada (027)",120,1,60,26,27,6
"Hombres (028)",88,1,36,21,24,6
"Mujeres (029)",32,,24,5,3,
"No PEA (030)",4043,1410,1125,475,493,540
"Hombres (031)",1557,715,393,92,108,249
"Mujeres (032)",2486,695,732,383,385,291
,,,,,,
"RURAL (036)",3924,676,1166,863,767,452
"Hombres (037)",2110,341,638,451,430,250
"Mujeres (038)",1814,335,528,412,337,202
"PEA (039)",1853,17,593,606,505,132
"Hombres (040)",1379,14,449,423,386,107
"Mujeres (041)",474,3,144,183,119,25
"Ocupada (042)",1796,16,559,596,494,131
"Hombres (043)",1341,13,430,416,376,106
"Mujeres (044)",455,3,129,180,118,25
"Desocupada (045)",57,1,34,10,11,1
"Hombres (046)",38,1,19,7,10,1
"Mujeres (047)",19,,15,3,1,
"No PEA (048)",2071,659,573,257,262,320
"Hombres (049)",731,327,189,28,44,143
"Mujeres (050)",1340,332,384,229,218,177
