"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia HUANCANE (000)",22288,10427,11861
"Red pública dentro de la vivienda (001)",2513,1973,540
"Red pública fuera de la vivienda (002)",2872,1076,1796
"Pilón de uso público (003)",1198,353,845
"Camión - cisterna u otro similar (004)",13,8,5
"Pozo (005)",8797,4448,4349
"Río, acequia, manatial o similar (006)",5335,1878,3457
"Vecino (007)",1335,591,744
"Otro (008)",225,100,125
,,,
"URBANA (010)",3975,3071,904
"Red pública dentro de la vivienda (011)",2236,1896,340
"Red pública fuera de la vivienda (012)",707,595,112
"Pilón de uso público (013)",124,76,48
"Camión - cisterna u otro similar (014)",2,1,1
"Pozo (015)",342,177,165
"Río, acequia, manatial o similar (016)",292,207,85
"Vecino (017)",195,87,108
"Otro (018)",77,32,45
,,,
"RURAL (020)",18313,7356,10957
"Red pública dentro de la vivienda (021)",277,77,200
"Red pública fuera de la vivienda (022)",2165,481,1684
"Pilón de uso público (023)",1074,277,797
"Camión - cisterna u otro similar (024)",11,7,4
"Pozo (025)",8455,4271,4184
"Río, acequia, manatial o similar (026)",5043,1671,3372
"Vecino (027)",1140,504,636
"Otro (028)",148,68,80
