"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia VIRU (000)",784,51,447,152,112,22
"Sin nivel (001)",70,14,15,13,18,10
"Educación inicial (002)",3,,3,,,
"Primaria (003)",328,27,160,72,59,10
"Secundaria (004)",280,10,202,48,20,
"Superior no univ. incompleta (005)",30,,19,2,8,1
"Superior no univ. completa (006)",35,,24,8,3,
"Superior univ. incompleta (007)",9,,7,,2,
"Superior univ. completa (008)",29,,17,9,2,1
"Hombres (010)",530,35,275,110,92,18
"Sin nivel (011)",39,10,4,7,10,8
"Educación inicial (012)",3,,3,,,
"Primaria (013)",232,21,97,54,52,8
"Secundaria (014)",196,4,141,35,16,
"Superior no univ. incompleta (015)",19,,9,2,7,1
"Superior no univ. completa (016)",19,,9,7,3,
"Superior univ. incompleta (017)",4,,2,,2,
"Superior univ. completa (018)",18,,10,5,2,1
"Mujeres (020)",254,16,172,42,20,4
"Sin nivel (021)",31,4,11,6,8,2
"Primaria (023)",96,6,63,18,7,2
"Secundaria (024)",84,6,61,13,4,
"Superior no univ. incompleta (025)",11,,10,,1,
"Superior no univ. completa (026)",16,,15,1,,
"Superior univ. incompleta (027)",5,,5,,,
"Superior univ. completa (028)",11,,7,4,,
,,,,,,
"Area Urbana (030)",566,26,325,119,79,17
"Sin nivel (031)",37,3,8,9,11,6
"Educación inicial (032)",3,,3,,,
"Primaria (033)",221,16,101,53,42,9
"Secundaria (034)",221,7,158,41,15,
"Superior no univ. incompleta (035)",25,,18,2,4,1
"Superior no univ. completa (036)",29,,20,6,3,
"Superior univ. incompleta (037)",7,,5,,2,
"Superior univ. completa (038)",23,,12,8,2,1
"Hombres (040)",391,16,211,85,66,13
"Sin nivel (041)",19,2,2,4,7,4
"Educación inicial (042)",3,,3,,,
"Primaria (043)",164,13,69,39,36,7
"Secundaria (044)",155,1,111,31,12,
"Superior no univ. incompleta (045)",15,,8,2,4,1
"Superior no univ. completa (046)",17,,9,5,3,
"Superior univ. incompleta (047)",4,,2,,2,
"Superior univ. completa (048)",14,,7,4,2,1
"Mujeres (050)",175,10,114,34,13,4
"Sin nivel (051)",18,1,6,5,4,2
"Primaria (053)",57,3,32,14,6,2
"Secundaria (054)",66,6,47,10,3,
"Superior no univ. incompleta (055)",10,,10,,,
"Superior no univ. completa (056)",12,,11,1,,
"Superior univ. incompleta (057)",3,,3,,,
"Superior univ. completa (058)",9,,5,4,,
,,,,,,
"Area Rural (060)",218,25,122,33,33,5
"Sin nivel (061)",33,11,7,4,7,4
"Primaria (063)",107,11,59,19,17,1
"Secundaria (064)",59,3,44,7,5,
"Superior no univ. incompleta (065)",5,,1,,4,
"Superior no univ. completa (066)",6,,4,2,,
"Superior univ. incompleta (067)",2,,2,,,
"Superior univ. completa (068)",6,,5,1,,
"Hombres (070)",139,19,64,25,26,5
"Sin nivel (071)",20,8,2,3,3,4
"Primaria (073)",68,8,28,15,16,1
"Secundaria (074)",41,3,30,4,4,
"Superior no univ. incompleta (075)",4,,1,,3,
"Superior no univ. completa (076)",2,,,2,,
"Superior univ. completa (078)",4,,3,1,,
"Mujeres (080)",79,6,58,8,7,
"Sin nivel (081)",13,3,5,1,4,
"Primaria (083)",39,3,31,4,1,
"Secundaria (084)",18,,14,3,1,
"Superior no univ. incompleta (085)",1,,,,1,
"Superior no univ. completa (086)",4,,4,,,
"Superior univ. incompleta (087)",2,,2,,,
"Superior univ. completa (088)",2,,2,,,
