"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia RIOJA (000)",73789,13233,15339,15980,12746,8078,8413
"Conviviente (001)",23597,563,5252,8332,5378,2488,1584
"Separado(a) (002)",2330,42,333,473,589,424,469
"Casado(a) (003)",19372,51,1006,4211,5336,4293,4475
"Viudo(a) (004)",1988,5,35,72,198,272,1406
"Divorciado(a) (005)",255,,19,30,49,70,87
"Soltero(a) (006)",26247,12572,8694,2862,1196,531,392
"Hombres (008)",38420,6829,7811,8025,6673,4552,4530
"Conviviente (009)",11539,136,1785,4182,2946,1526,964
"Separado(a) (010)",784,15,57,129,198,176,209
"Casado(a) (011)",9577,17,226,1727,2636,2336,2635
"Viudo(a) (012)",537,1,6,17,41,84,388
"Divorciado(a) (013)",117,,11,4,18,45,39
"Soltero(a) (014)",15866,6660,5726,1966,834,385,295
"Mujeres (016)",35369,6404,7528,7955,6073,3526,3883
"Conviviente (017)",12058,427,3467,4150,2432,962,620
"Separado(a) (018)",1546,27,276,344,391,248,260
"Casado(a) (019)",9795,34,780,2484,2700,1957,1840
"Viudo(a) (020)",1451,4,29,55,157,188,1018
"Divorciado(a) (021)",138,,8,26,31,25,48
"Soltero(a) (022)",10381,5912,2968,896,362,146,97
,,,,,,,
"URBANA (024)",54193,9492,10872,11684,9832,6129,6184
"Conviviente (025)",16456,337,3393,5807,3992,1835,1092
"Separado(a) (026)",1857,32,243,381,490,351,360
"Casado(a) (027)",14644,42,685,3130,4205,3272,3310
"Viudo(a) (028)",1464,3,22,48,161,194,1036
"Divorciado(a) (029)",208,,12,25,45,59,67
"Soltero(a) (030)",19564,9078,6517,2293,939,418,319
"Hombres (032)",27774,4843,5473,5652,5067,3456,3283
"Conviviente (033)",8001,98,1156,2799,2159,1119,670
"Separado(a) (034)",608,14,39,96,155,149,155
"Casado(a) (035)",7222,15,156,1235,2083,1803,1930
"Viudo(a) (036)",368,1,3,8,31,62,263
"Divorciado(a) (037)",95,,9,3,15,36,32
"Soltero(a) (038)",11480,4715,4110,1511,624,287,233
"Mujeres (040)",26419,4649,5399,6032,4765,2673,2901
"Conviviente (041)",8455,239,2237,3008,1833,716,422
"Separado(a) (042)",1249,18,204,285,335,202,205
"Casado(a) (043)",7422,27,529,1895,2122,1469,1380
"Viudo(a) (044)",1096,2,19,40,130,132,773
"Divorciado(a) (045)",113,,3,22,30,23,35
"Soltero(a) (046)",8084,4363,2407,782,315,131,86
,,,,,,,
"RURAL (048)",19596,3741,4467,4296,2914,1949,2229
"Conviviente (049)",7141,226,1859,2525,1386,653,492
"Separado(a) (050)",473,10,90,92,99,73,109
"Casado(a) (051)",4728,9,321,1081,1131,1021,1165
"Viudo(a) (052)",524,2,13,24,37,78,370
"Divorciado(a) (053)",47,,7,5,4,11,20
"Soltero(a) (054)",6683,3494,2177,569,257,113,73
"Hombres (056)",10646,1986,2338,2373,1606,1096,1247
"Conviviente (057)",3538,38,629,1383,787,407,294
"Separado(a) (058)",176,1,18,33,43,27,54
"Casado(a) (059)",2355,2,70,492,553,533,705
"Viudo(a) (060)",169,,3,9,10,22,125
"Divorciado(a) (061)",22,,2,1,3,9,7
"Soltero(a) (062)",4386,1945,1616,455,210,98,62
"Mujeres (064)",8950,1755,2129,1923,1308,853,982
"Conviviente (065)",3603,188,1230,1142,599,246,198
"Separado(a) (066)",297,9,72,59,56,46,55
"Casado(a) (067)",2373,7,251,589,578,488,460
"Viudo(a) (068)",355,2,10,15,27,56,245
"Divorciado(a) (069)",25,,5,4,1,2,13
"Soltero(a) (070)",2297,1549,561,114,47,15,11
