"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia ANTABAMBA",,,,,,,,
"Hogares (001)",3828,2390,675,196,5,59,38,1326
"Ocupantes presentes (002)",12064,8192,2519,720,13,227,149,3470
"Casa independiente",,,,,,,,
"Hogares (004)",3510,2204,662,191,5,58,38,1197
"Ocupantes presentes (005)",11220,7659,2486,708,13,225,149,3168
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",47,30,13,5,,1,,14
"Ocupantes presentes (014)",140,92,33,12,,2,,39
"Choza o cabaña",,,,,,,,
"Hogares (016)",266,153,,,,,,113
"Ocupantes presentes (017)",699,438,,,,,,261
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",5,3,,,,,,2
"Ocupantes presentes (023)",5,3,,,,,,2
"Otro tipo",,,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",2559,1585,659,192,5,53,36,866
"Ocupantes presentes (029)",8488,5725,2459,703,13,209,145,2379
"Casa independiente",,,,,,,,
"Hogares (031)",2507,1552,646,187,5,52,36,850
"Ocupantes presentes (032)",8343,5630,2426,691,13,207,145,2338
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",47,30,13,5,,1,,14
"Ocupantes presentes (041)",140,92,33,12,,2,,39
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",5,3,,,,,,2
"Ocupantes presentes (050)",5,3,,,,,,2
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",1269,805,16,4,,6,2,460
"Ocupantes presentes (056)",3576,2467,60,17,,18,4,1091
"Casa independiente",,,,,,,,
"Hogares (058)",1003,652,16,4,,6,2,347
"Ocupantes presentes (059)",2877,2029,60,17,,18,4,830
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",266,153,,,,,,113
"Ocupantes presentes (071)",699,438,,,,,,261
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Otro tipo",,,,,,,,
