"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia BARRANCA",,,,,,,,
"Hogares (001)",34159,23962,26698,13035,5109,13960,3898,3194
"Ocupantes presentes (002)",132914,95306,108791,54617,21366,58040,16867,9584
"Casa independiente",,,,,,,,
"Hogares (004)",31780,22498,25115,12357,4837,13357,3666,2792
"Ocupantes presentes (005)",124721,89983,102895,51958,20223,55631,15956,8523
"Departamento en edificio",,,,,,,,
"Hogares (007)",497,345,446,228,126,239,122,22
"Ocupantes presentes (008)",1601,1158,1472,790,477,854,443,48
"Vivienda en quinta",,,,,,,,
"Hogares (010)",666,406,540,247,95,224,70,64
"Ocupantes presentes (011)",2422,1546,2079,1020,438,939,307,170
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",544,352,423,152,46,117,36,59
"Ocupantes presentes (014)",1970,1311,1634,635,205,514,152,154
"Choza o cabaña",,,,,,,,
"Hogares (016)",376,234,72,11,,6,,132
"Ocupantes presentes (017)",1306,886,307,49,,33,,381
"Vivienda improvisada",,,,,,,,
"Hogares (019)",221,93,78,27,3,6,,94
"Ocupantes presentes (020)",719,330,332,123,15,35,,250
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",53,24,18,12,2,11,3,22
"Ocupantes presentes (023)",140,74,57,39,8,34,7,48
"Otro tipo",,,,,,,,
"Hogares (025)",22,10,6,1,,,1,9
"Ocupantes presentes (026)",35,18,15,3,,,2,10
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",29000,20391,24350,12365,5062,13373,3858,2173
"Ocupantes presentes (029)",113295,81237,98924,51662,21165,55428,16690,6340
"Casa independiente",,,,,,,,
"Hogares (031)",27019,19173,22841,11698,4790,12776,3626,1913
"Ocupantes presentes (032)",106452,76828,93341,49052,20022,53052,15779,5676
"Departamento en edificio",,,,,,,,
"Hogares (034)",497,345,446,228,126,239,122,22
"Ocupantes presentes (035)",1601,1158,1472,790,477,854,443,48
"Vivienda en quinta",,,,,,,,
"Hogares (037)",666,406,540,247,95,224,70,64
"Ocupantes presentes (038)",2422,1546,2079,1020,438,939,307,170
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",544,352,423,152,46,117,36,59
"Ocupantes presentes (041)",1970,1311,1634,635,205,514,152,154
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",221,93,78,27,3,6,,94
"Ocupantes presentes (047)",719,330,332,123,15,35,,250
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",45,19,17,12,2,11,3,19
"Ocupantes presentes (050)",115,57,54,39,8,34,7,40
"Otro tipo",,,,,,,,
"Hogares (052)",8,3,5,1,,,1,2
"Ocupantes presentes (053)",16,7,12,3,,,2,2
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",5159,3571,2348,670,47,587,40,1021
"Ocupantes presentes (056)",19619,14069,9867,2955,201,2612,177,3244
"Casa independiente",,,,,,,,
"Hogares (058)",4761,3325,2274,659,47,581,40,879
"Ocupantes presentes (059)",18269,13155,9554,2906,201,2579,177,2847
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",376,234,72,11,,6,,132
"Ocupantes presentes (071)",1306,886,307,49,,33,,381
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",8,5,1,,,,,3
"Ocupantes presentes (077)",25,17,3,,,,,8
"Otro tipo",,,,,,,,
"Hogares (079)",14,7,1,,,,,7
"Ocupantes presentes (080)",19,11,3,,,,,8
