"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia TALARA (000)",83658,81294,2364
"Hombres (001)",41779,40568,1211
"Mujeres (002)",41879,40726,1153
"De 18 a 29 años (003)",27633,26090,1543
"Hombres (004)",13852,13003,849
"Mujeres (005)",13781,13087,694
"De 30 a 44 años (006)",25840,25571,269
"Hombres (007)",12491,12332,159
"Mujeres (008)",13349,13239,110
"De 45 a 64 años (009)",22717,22502,215
"Hombres (010)",11780,11686,94
"Mujeres (011)",10937,10816,121
"De 65 y más años (012)",7468,7131,337
"Hombres (013)",3656,3547,109
"Mujeres (014)",3812,3584,228
,,,
"URBANA (015)",81972,79725,2247
"Hombres (016)",40830,39675,1155
"Mujeres (017)",41142,40050,1092
"De 18 a 29 años (018)",26985,25494,1491
"Hombres (019)",13515,12695,820
"Mujeres (020)",13470,12799,671
"De 30 a 44 años (021)",25313,25065,248
"Hombres (022)",12177,12028,149
"Mujeres (023)",13136,13037,99
"De 45 a 64 años (024)",22319,22129,190
"Hombres (025)",11551,11466,85
"Mujeres (026)",10768,10663,105
"De 65 y más años (027)",7355,7037,318
"Hombres (028)",3587,3486,101
"Mujeres (029)",3768,3551,217
,,,
"RURAL (030)",1686,1569,117
"Hombres (031)",949,893,56
"Mujeres (032)",737,676,61
"De 18 a 29 años (033)",648,596,52
"Hombres (034)",337,308,29
"Mujeres (035)",311,288,23
"De 30 a 44 años (036)",527,506,21
"Hombres (037)",314,304,10
"Mujeres (038)",213,202,11
"De 45 a 64 años (039)",398,373,25
"Hombres (040)",229,220,9
"Mujeres (041)",169,153,16
"De 65 y más años (042)",113,94,19
"Hombres (043)",69,61,8
"Mujeres (044)",44,33,11
