"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",9644,36,553,162,106,551,3917,294,341,3295,34,153,202
"Agric., ganadería, caza y silvicultura (001)",6801,,,5,2,,3917,1,4,2872,,,
"Pesca (002)",1,,1,,,,,,,,,,
"Industrias manufactureras (004)",238,,,1,1,,,230,5,1,,,
"Suministro de electricidad, gas y agua (005)",8,,,2,2,,,2,1,1,,,
"Construcción (006)",232,,3,5,,,,6,148,70,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",591,,6,17,2,435,,50,3,78,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",44,,1,,,3,,39,,1,,,
"Comercio al por mayor (009)",28,,,,,22,,,2,4,,,
"Comercio al por menor (010)",519,,5,17,2,410,,11,1,73,,,
"Hoteles y restaurantes (011)",148,,4,4,3,99,,,,38,,,
"Trans., almac. y comunicaciones (012)",201,,1,3,5,1,,1,174,16,,,
"Intermediación financiera (013)",3,,1,2,,,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",74,,24,18,9,7,,2,1,13,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",181,26,11,25,46,1,,,5,33,34,,
"Enseñanza (016)",472,10,446,1,11,,,,,4,,,
"Servicios sociales y de salud (017)",112,,40,56,8,2,,1,,5,,,
"Otras activ. serv.comun.soc y personales (018)",88,,16,23,7,6,,1,,35,,,
"Hogares privados con servicio doméstico (019)",129,,,,,,,,,129,,,
"Actividad economica no especificada (021)",163,,,,10,,,,,,,153,
"Desocupado (022)",202,,,,,,,,,,,,202
"Hombres (023)",7867,29,316,97,58,224,3695,261,338,2623,34,47,145
"Agric., ganadería, caza y silvicultura (024)",6146,,,5,2,,3695,1,4,2439,,,
"Pesca (025)",1,,1,,,,,,,,,,
"Industrias manufactureras (027)",203,,,1,1,,,197,3,1,,,
"Suministro de electricidad, gas y agua (028)",7,,,2,1,,,2,1,1,,,
"Construcción (029)",227,,3,5,,,,6,148,65,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",306,,4,12,1,196,,50,3,40,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",42,,1,,,2,,39,,,,,
"Comercio al por mayor (032)",17,,,,,13,,,2,2,,,
"Comercio al por menor (033)",247,,3,12,1,181,,11,1,38,,,
"Hoteles y restaurantes (034)",32,,3,4,1,17,,,,7,,,
"Trans., almac. y comunicaciones (035)",192,,1,2,2,1,,1,174,11,,,
"Intermediación financiera (036)",1,,,1,,,,,,,,,
"Activid.inmobil., empres. y alquileres (037)",59,,22,11,5,6,,2,,13,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",138,21,9,15,27,1,,,5,26,34,,
"Enseñanza (039)",257,8,240,1,6,,,,,2,,,
"Servicios sociales y de salud (040)",48,,19,19,6,1,,1,,2,,,
"Otras activ. serv.comun.soc y personales (041)",52,,14,19,2,2,,1,,14,,,
"Hogares privados con servicio doméstico (042)",2,,,,,,,,,2,,,
"Actividad economica no especificada (044)",51,,,,4,,,,,,,47,
"Desocupado (045)",145,,,,,,,,,,,,145
"Mujeres (046)",1777,7,237,65,48,327,222,33,3,672,,106,57
"Agric., ganadería, caza y silvicultura (047)",655,,,,,,222,,,433,,,
"Industrias manufactureras (050)",35,,,,,,,33,2,,,,
"Suministro de electricidad, gas y agua (051)",1,,,,1,,,,,,,,
"Construcción (052)",5,,,,,,,,,5,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",285,,2,5,1,239,,,,38,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",2,,,,,1,,,,1,,,
"Comercio al por mayor (055)",11,,,,,9,,,,2,,,
"Comercio al por menor (056)",272,,2,5,1,229,,,,35,,,
"Hoteles y restaurantes (057)",116,,1,,2,82,,,,31,,,
"Trans., almac. y comunicaciones (058)",9,,,1,3,,,,,5,,,
"Intermediación financiera (059)",2,,1,1,,,,,,,,,
"Activid.inmobil., empres. y alquileres (060)",15,,2,7,4,1,,,1,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",43,5,2,10,19,,,,,7,,,
"Enseñanza (062)",215,2,206,,5,,,,,2,,,
"Servicios sociales y de salud (063)",64,,21,37,2,1,,,,3,,,
"Otras activ. serv.comun.soc y personales (064)",36,,2,4,5,4,,,,21,,,
"Hogares privados con servicio doméstico (065)",127,,,,,,,,,127,,,
"Actividad economica no especificada (067)",112,,,,6,,,,,,,106,
"Desocupado (068)",57,,,,,,,,,,,,57
,,,,,,,,,,,,,
"URBANA (069)",3332,29,402,123,85,439,832,199,227,762,30,85,119
"Agric., ganadería, caza y silvicultura (070)",1298,,,3,2,,832,1,2,458,,,
"Industrias manufactureras (073)",146,,,,1,,,140,4,1,,,
"Suministro de electricidad, gas y agua (074)",4,,,,1,,,2,1,,,,
"Construcción (075)",148,,2,4,,,,5,93,44,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",475,,6,15,2,347,,46,2,57,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",41,,1,,,3,,36,,1,,,
"Comercio al por mayor (078)",26,,,,,21,,,1,4,,,
"Comercio al por menor (079)",408,,5,15,2,323,,10,1,52,,,
"Hoteles y restaurantes (080)",117,,4,4,3,79,,,,27,,,
"Trans., almac. y comunicaciones (081)",147,,1,3,4,1,,1,121,16,,,
"Intermediación financiera (082)",3,,1,2,,,,,,,,,
"Activid.inmobil., empres. y alquileres (083)",66,,21,18,6,6,,2,1,12,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",148,20,10,20,38,,,,3,27,30,,
"Enseñanza (085)",340,9,317,1,10,,,,,3,,,
"Servicios sociales y de salud (086)",83,,32,38,6,1,,1,,5,,,
"Otras activ. serv.comun.soc y personales (087)",61,,8,15,5,5,,1,,27,,,
"Hogares privados con servicio doméstico (088)",85,,,,,,,,,85,,,
"Actividad economica no especificada (090)",92,,,,7,,,,,,,85,
"Desocupado (091)",119,,,,,,,,,,,,119
"Hombres (092)",2356,24,223,74,43,173,767,175,224,505,30,28,90
"Agric., ganadería, caza y silvicultura (093)",1143,,,3,2,,767,1,2,368,,,
"Industrias manufactureras (096)",120,,,,1,,,116,2,1,,,
"Suministro de electricidad, gas y agua (097)",3,,,,,,,2,1,,,,
"Construcción (098)",144,,2,4,,,,5,93,40,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",244,,4,11,1,149,,46,2,31,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",39,,1,,,2,,36,,,,,
"Comercio al por mayor (101)",15,,,,,12,,,1,2,,,
"Comercio al por menor (102)",190,,3,11,1,135,,10,1,29,,,
"Hoteles y restaurantes (103)",27,,3,4,1,15,,,,4,,,
"Trans., almac. y comunicaciones (104)",138,,1,2,1,1,,1,121,11,,,
"Intermediación financiera (105)",1,,,1,,,,,,,,,
"Activid.inmobil., empres. y alquileres (106)",52,,19,11,3,5,,2,,12,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",110,16,8,11,21,,,,3,21,30,,
"Enseñanza (108)",182,8,165,1,6,,,,,2,,,
"Servicios sociales y de salud (109)",37,,15,14,4,1,,1,,2,,,
"Otras activ. serv.comun.soc y personales (110)",34,,6,12,1,2,,1,,12,,,
"Hogares privados con servicio doméstico (111)",1,,,,,,,,,1,,,
"Actividad economica no especificada (113)",30,,,,2,,,,,,,28,
"Desocupado (114)",90,,,,,,,,,,,,90
"Mujeres (115)",976,5,179,49,42,266,65,24,3,257,,57,29
"Agric., ganadería, caza y silvicultura (116)",155,,,,,,65,,,90,,,
"Industrias manufactureras (119)",26,,,,,,,24,2,,,,
"Suministro de electricidad, gas y agua (120)",1,,,,1,,,,,,,,
"Construcción (121)",4,,,,,,,,,4,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",231,,2,4,1,198,,,,26,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",2,,,,,1,,,,1,,,
"Comercio al por mayor (124)",11,,,,,9,,,,2,,,
"Comercio al por menor (125)",218,,2,4,1,188,,,,23,,,
"Hoteles y restaurantes (126)",90,,1,,2,64,,,,23,,,
"Trans., almac. y comunicaciones (127)",9,,,1,3,,,,,5,,,
"Intermediación financiera (128)",2,,1,1,,,,,,,,,
"Activid.inmobil., empres. y alquileres (129)",14,,2,7,3,1,,,1,,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",38,4,2,9,17,,,,,6,,,
"Enseñanza (131)",158,1,152,,4,,,,,1,,,
"Servicios sociales y de salud (132)",46,,17,24,2,,,,,3,,,
"Otras activ. serv.comun.soc y personales (133)",27,,2,3,4,3,,,,15,,,
"Hogares privados con servicio doméstico (134)",84,,,,,,,,,84,,,
"Actividad economica no especificada (136)",62,,,,5,,,,,,,57,
"Desocupado (137)",29,,,,,,,,,,,,29
,,,,,,,,,,,,,
"RURAL (138)",6312,7,151,39,21,112,3085,95,114,2533,4,68,83
"Agric., ganadería, caza y silvicultura (139)",5503,,,2,,,3085,,2,2414,,,
"Pesca (140)",1,,1,,,,,,,,,,
"Industrias manufactureras (142)",92,,,1,,,,90,1,,,,
"Suministro de electricidad, gas y agua (143)",4,,,2,1,,,,,1,,,
"Construcción (144)",84,,1,1,,,,1,55,26,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",116,,,2,,88,,4,1,21,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",3,,,,,,,3,,,,,
"Comercio al por mayor (147)",2,,,,,1,,,1,,,,
"Comercio al por menor (148)",111,,,2,,87,,1,,21,,,
"Hoteles y restaurantes (149)",31,,,,,20,,,,11,,,
"Trans., almac. y comunicaciones (150)",54,,,,1,,,,53,,,,
"Activid.inmobil., empres. y alquileres (152)",8,,3,,3,1,,,,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (153)",33,6,1,5,8,1,,,2,6,4,,
"Enseñanza (154)",132,1,129,,1,,,,,1,,,
"Servicios sociales y de salud (155)",29,,8,18,2,1,,,,,,,
"Otras activ. serv.comun.soc y personales (156)",27,,8,8,2,1,,,,8,,,
"Hogares privados con servicio doméstico (157)",44,,,,,,,,,44,,,
"Actividad economica no especificada (159)",71,,,,3,,,,,,,68,
"Desocupado (160)",83,,,,,,,,,,,,83
