"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CALCA (000)",21690,18007,2008,950,725
"Empleado (001)",2372,895,415,547,515
"Obrero (002)",2159,1268,403,288,200
"Trabajador independiente (003)",12153,11308,845,,
"Empleador o patrono (004)",703,619,60,20,4
"Trabajador familiar no remunerado (005)",4011,3625,285,95,6
"Trabajador del hogar (006)",292,292,,,
"De 06 a 14 años (008)",490,434,39,17,
"Empleado (009)",19,17,2,,
"Obrero (010)",37,28,8,1,
"Trabajador independiente (011)",62,60,2,,
"Empleador o patrono (012)",2,1,,1,
"Trabajador familiar no remunerado (013)",310,268,27,15,
"Trabajador del hogar (014)",60,60,,,
"De 15 a 29 años (016)",6794,5585,706,268,235
"Empleado (017)",849,441,142,130,136
"Obrero (018)",865,480,186,102,97
"Trabajador independiente (019)",3148,2914,234,,
"Empleador o patrono (020)",140,123,10,6,1
"Trabajador familiar no remunerado (021)",1640,1475,134,30,1
"Trabajador del hogar (022)",152,152,,,
"De 30 a 44 años (024)",7469,5997,744,412,316
"Empleado (025)",988,293,207,254,234
"Obrero (026)",758,423,136,124,75
"Trabajador independiente (027)",4442,4125,317,,
"Empleador o patrono (028)",234,206,20,6,2
"Trabajador familiar no remunerado (029)",1001,904,64,28,5
"Trabajador del hogar (030)",46,46,,,
"De 45 a 64 años (032)",5349,4515,431,239,164
"Empleado (033)",479,124,60,157,138
"Obrero (034)",423,276,64,58,25
"Trabajador independiente (035)",3377,3140,237,,
"Empleador o patrono (036)",234,201,25,7,1
"Trabajador familiar no remunerado (037)",813,751,45,17,
"Trabajador del hogar (038)",23,23,,,
"De 65 y más años (040)",1588,1476,88,14,10
"Empleado (041)",37,20,4,6,7
"Obrero (042)",76,61,9,3,3
"Trabajador independiente (043)",1124,1069,55,,
"Empleador o patrono (044)",93,88,5,,
"Trabajador familiar no remunerado (045)",247,227,15,5,
"Trabajador del hogar (046)",11,11,,,
,,,,,
"URBANA (048)",8795,6730,809,692,564
"Empleado (049)",1918,688,307,480,443
"Obrero (050)",1029,580,156,176,117
"Trabajador independiente (051)",4707,4441,266,,
"Empleador o patrono (052)",178,141,19,15,3
"Trabajador familiar no remunerado (053)",745,662,61,21,1
"Trabajador del hogar (054)",218,218,,,
