"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUALLAGA (000)",9215,826,1242,5208,238,1379,322
"Conviviente (001)",3596,253,485,2324,86,315,133
"Separado(a) (002)",240,24,34,155,2,9,16
"Casado(a) (003)",2760,352,252,1749,107,219,81
"Viudo(a) (004)",181,6,22,131,9,6,7
"Divorciado(a) (005)",24,6,3,14,,,1
"Soltero(a) (006)",2414,185,446,835,34,830,84
"Hombres (008)",7184,461,1061,4595,216,838,13
"Conviviente (009)",2758,158,395,2068,81,53,3
"Separado(a) (010)",159,10,29,110,2,8,
"Casado(a) (011)",2092,200,200,1561,99,31,1
"Viudo(a) (012)",100,1,15,80,3,1,
"Divorciado(a) (013)",15,1,2,12,,,
"Soltero(a) (014)",2060,91,420,764,31,745,9
"Mujeres (016)",2031,365,181,613,22,541,309
"Conviviente (017)",838,95,90,256,5,262,130
"Separado(a) (018)",81,14,5,45,,1,16
"Casado(a) (019)",668,152,52,188,8,188,80
"Viudo(a) (020)",81,5,7,51,6,5,7
"Divorciado(a) (021)",9,5,1,2,,,1
"Soltero(a) (022)",354,94,26,71,3,85,75
,,,,,,,
"URBANA (024)",4939,759,607,2701,88,545,239
"Conviviente (025)",1807,223,223,1141,19,121,80
"Separado(a) (026)",124,20,8,75,2,5,14
"Casado(a) (027)",1712,339,162,991,40,117,63
"Viudo(a) (028)",114,6,15,75,7,4,7
"Divorciado(a) (029)",13,6,2,4,,,1
"Soltero(a) (030)",1169,165,197,415,20,298,74
"Hombres (032)",3609,426,518,2262,71,320,12
"Conviviente (033)",1337,144,186,967,15,23,2
"Separado(a) (034)",73,10,7,49,2,5,
"Casado(a) (035)",1208,189,131,832,33,22,1
"Viudo(a) (036)",53,1,8,41,2,1,
"Divorciado(a) (037)",6,1,1,4,,,
"Soltero(a) (038)",932,81,185,369,19,269,9
"Mujeres (040)",1330,333,89,439,17,225,227
"Conviviente (041)",470,79,37,174,4,98,78
"Separado(a) (042)",51,10,1,26,,,14
"Casado(a) (043)",504,150,31,159,7,95,62
"Viudo(a) (044)",61,5,7,34,5,3,7
"Divorciado(a) (045)",7,5,1,,,,1
"Soltero(a) (046)",237,84,12,46,1,29,65
,,,,,,,
"RURAL (048)",4276,67,635,2507,150,834,83
"Conviviente (049)",1789,30,262,1183,67,194,53
"Separado(a) (050)",116,4,26,80,,4,2
"Casado(a) (051)",1048,13,90,758,67,102,18
"Viudo(a) (052)",67,,7,56,2,2,
"Divorciado(a) (053)",11,,1,10,,,
"Soltero(a) (054)",1245,20,249,420,14,532,10
"Hombres (056)",3575,35,543,2333,145,518,1
"Conviviente (057)",1421,14,209,1101,66,30,1
"Separado(a) (058)",86,,22,61,,3,
"Casado(a) (059)",884,11,69,729,66,9,
"Viudo(a) (060)",47,,7,39,1,,
"Divorciado(a) (061)",9,,1,8,,,
"Soltero(a) (062)",1128,10,235,395,12,476,
"Mujeres (064)",701,32,92,174,5,316,82
"Conviviente (065)",368,16,53,82,1,164,52
"Separado(a) (066)",30,4,4,19,,1,2
"Casado(a) (067)",164,2,21,29,1,93,18
"Viudo(a) (068)",20,,,17,1,2,
"Divorciado(a) (069)",2,,,2,,,
"Soltero(a) (070)",117,10,14,25,2,56,10
