"CUADRO Nº 7: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PADECIMIENTO DE ALGUNA DIFICULTAD O LIMITACIÓN FÍSICA O MENTAL PERMANENTE DE ALGÚN MIEMBRO DEL HOGAR, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISCAPACIDAD FÍSICA O MENTAL",,,,,"NINGUNA PERSONA CON DISCAPACIDAD"
,,"PARA VER, AÚN USANDO LENTES","PARA OÍR, AÚN USANDO AUDÍ-FONOS PARA SORDERA","PARA HABLAR (ENTONAR / VOCALIZAR)","PARA USAR BRAZOS Y MANOS / PIERNAS Y PIES","ALGUNA OTRA DIFICULTAD O LIMITACIÓN",
,,,,,,,
"Provincia BOLOGNESI",,,,,,,
"Hogares (001)",7740,326,84,64,105,112,7103
"Ocupantes presentes (002)",28835,1238,273,264,472,446,26339
"Casa independiente",,,,,,,
"Hogares (004)",6995,315,75,53,97,105,6399
"Ocupantes presentes (005)",26121,1191,251,223,440,414,23788
"Departamento en edificio",,,,,,,
"Hogares (007)",3,,,,,,3
"Ocupantes presentes (008)",20,,,,,,20
"Vivienda en quinta",,,,,,,
"Hogares (010)",26,1,,,,2,23
"Ocupantes presentes (011)",109,3,,,,13,93
"Vivienda en casa de vecindad",,,,,,,
"Hogares (013)",51,2,,,,,49
"Ocupantes presentes (014)",202,11,,,,,191
"Choza o cabaña",,,,,,,
"Hogares (016)",647,6,8,10,7,5,614
"Ocupantes presentes (017)",2327,24,19,38,29,19,2203
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Hogares (022)",15,2,1,1,1,,12
"Ocupantes presentes (023)",43,9,3,3,3,,31
"Otro tipo",,,,,,,
"Hogares (025)",3,,,,,,3
"Ocupantes presentes (026)",13,,,,,,13
,,,,,,,
URBANA,,,,,,,
"Hogares (028)",4957,288,61,40,71,80,4459
"Ocupantes presentes (029)",18577,1101,211,177,316,335,16595
"Casa independiente",,,,,,,
"Hogares (031)",4865,283,60,39,70,78,4375
"Ocupantes presentes (032)",18207,1078,208,174,313,322,16264
"Departamento en edificio",,,,,,,
"Hogares (034)",3,,,,,,3
"Ocupantes presentes (035)",20,,,,,,20
"Vivienda en quinta",,,,,,,
"Hogares (037)",26,1,,,,2,23
"Ocupantes presentes (038)",109,3,,,,13,93
"Vivienda en casa de vecindad",,,,,,,
"Hogares (040)",51,2,,,,,49
"Ocupantes presentes (041)",202,11,,,,,191
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Hogares (049)",12,2,1,1,1,,9
"Ocupantes presentes (050)",39,9,3,3,3,,27
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Hogares (055)",2783,38,23,24,34,32,2644
"Ocupantes presentes (056)",10258,137,62,87,156,111,9744
"Casa independiente",,,,,,,
"Hogares (058)",2130,32,15,14,27,27,2024
"Ocupantes presentes (059)",7914,113,43,49,127,92,7524
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Hogares (070)",647,6,8,10,7,5,614
"Ocupantes presentes (071)",2327,24,19,38,29,19,2203
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Hogares (076)",3,,,,,,3
"Ocupantes presentes (077)",4,,,,,,4
"Otro tipo",,,,,,,
"Hogares (079)",3,,,,,,3
"Ocupantes presentes (080)",13,,,,,,13
