"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CUTERVO (000)",38736,34464,1733,628,1911
"Empleado (001)",4069,1203,631,464,1771
"Obrero (002)",6435,5779,391,142,123
"Trabajador independiente (003)",19176,18723,453,,
"Empleador o patrono (004)",453,415,26,8,4
"Trabajador familiar no remunerado (005)",7493,7234,232,14,13
"Trabajador del hogar (006)",1110,1110,,,
"De 06 a 14 años (008)",774,732,39,3,
"Empleado (009)",12,10,2,,
"Obrero (010)",101,97,4,,
"Trabajador independiente (011)",134,126,8,,
"Empleador o patrono (012)",2,2,,,
"Trabajador familiar no remunerado (013)",475,447,25,3,
"Trabajador del hogar (014)",50,50,,,
"De 15 a 29 años (016)",13094,11960,543,153,438
"Empleado (017)",1014,380,139,95,400
"Obrero (018)",2513,2270,162,48,33
"Trabajador independiente (019)",4966,4841,125,,
"Empleador o patrono (020)",91,87,1,3,
"Trabajador familiar no remunerado (021)",3967,3839,116,7,5
"Trabajador del hogar (022)",543,543,,,
"De 30 a 44 años (024)",12836,10832,678,312,1014
"Empleado (025)",2124,566,348,246,964
"Obrero (026)",2033,1813,117,62,41
"Trabajador independiente (027)",6523,6368,155,,
"Empleador o patrono (028)",164,146,12,3,3
"Trabajador familiar no remunerado (029)",1724,1671,46,1,6
"Trabajador del hogar (030)",268,268,,,
"De 45 a 64 años (032)",9027,8042,397,151,437
"Empleado (033)",891,234,138,122,397
"Obrero (034)",1396,1243,90,25,38
"Trabajador independiente (035)",5424,5297,127,,
"Empleador o patrono (036)",146,134,9,2,1
"Trabajador familiar no remunerado (037)",977,941,33,2,1
"Trabajador del hogar (038)",193,193,,,
"De 65 y más años (040)",3005,2898,76,9,22
"Empleado (041)",28,13,4,1,10
"Obrero (042)",392,356,18,7,11
"Trabajador independiente (043)",2129,2091,38,,
"Empleador o patrono (044)",50,46,4,,
"Trabajador familiar no remunerado (045)",350,336,12,1,1
"Trabajador del hogar (046)",56,56,,,
,,,,,
"URBANA (048)",8968,6159,671,457,1681
"Empleado (049)",3117,749,424,364,1580
"Obrero (050)",1170,907,91,82,90
"Trabajador independiente (051)",3549,3430,119,,
"Empleador o patrono (052)",108,87,12,6,3
"Trabajador familiar no remunerado (053)",542,504,25,5,8
