"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUALGAYOC (000)",89813,1623,28797,24584,16664,12121,6024
"Hombres (001)",43620,846,14591,11557,7962,5827,2837
"Mujeres (002)",46193,777,14206,13027,8702,6294,3187
"Viviendas particulares (003)",88199,1622,28735,23993,15959,11886,6004
"Hombres (004)",42274,845,14557,11104,7333,5612,2823
"Mujeres (005)",45925,777,14178,12889,8626,6274,3181
"Viviendas colectivas (006)",1468,,19,555,664,214,16
"Hombres (007)",1255,,8,432,601,202,12
"Mujeres (008)",213,,11,123,63,12,4
"Otro tipo (009)",146,1,43,36,41,21,4
"Hombres (010)",91,1,26,21,28,13,2
"Mujeres (011)",55,,17,15,13,8,2
,,,,,,,
"URBANA (012)",20404,343,5578,5886,4489,2964,1144
"Hombres (013)",10432,175,2830,2935,2381,1561,550
"Mujeres (014)",9972,168,2748,2951,2108,1403,594
"Viviendas particulares (015)",19077,342,5516,5412,3905,2775,1127
"Hombres (016)",9347,174,2796,2584,1864,1390,539
"Mujeres (017)",9730,168,2720,2828,2041,1385,588
"Viviendas colectivas (018)",1181,,19,438,543,168,13
"Hombres (019)",994,,8,330,489,158,9
"Mujeres (020)",187,,11,108,54,10,4
"Otro tipo (021)",146,1,43,36,41,21,4
"Hombres (022)",91,1,26,21,28,13,2
"Mujeres (023)",55,,17,15,13,8,2
,,,,,,,
"RURAL (024)",69409,1280,23219,18698,12175,9157,4880
"Hombres (025)",33188,671,11761,8622,5581,4266,2287
"Mujeres (026)",36221,609,11458,10076,6594,4891,2593
"Viviendas particulares (027)",69122,1280,23219,18581,12054,9111,4877
"Hombres (028)",32927,671,11761,8520,5469,4222,2284
"Mujeres (029)",36195,609,11458,10061,6585,4889,2593
"Viviendas colectivas (030)",287,,,117,121,46,3
"Hombres (031)",261,,,102,112,44,3
"Mujeres (032)",26,,,15,9,2,
