"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia ASCOPE (000)",63154,26694,5492,523,28611,423,40,161,72,1138
"Hombres (001)",21955,13292,3922,327,3393,178,33,84,72,654
"Mujeres (002)",41199,13402,1570,196,25218,245,7,77,,484
"De 06 a 14 años (003)",19334,18653,,,411,97,,14,,159
"Hombres (004)",9742,9436,,,170,47,,6,,83
"Mujeres (005)",9592,9217,,,241,50,,8,,76
"De 15 a 29 años (006)",16365,7800,29,89,7912,,12,48,72,403
"Hombres (007)",5232,3772,15,48,1083,,9,30,72,203
"Mujeres (008)",11133,4028,14,41,6829,,3,18,,200
"De 30 a 44 años (009)",9163,186,104,102,8514,,14,35,,208
"Hombres (010)",1110,69,46,58,777,,11,16,,133
"Mujeres (011)",8053,117,58,44,7737,,3,19,,75
"De 45 a 64 años (012)",9497,49,1002,165,8026,4,12,38,,201
"Hombres (013)",1675,11,596,106,790,3,11,23,,135
"Mujeres (014)",7822,38,406,59,7236,1,1,15,,66
"De 65 y más años (015)",8795,6,4357,167,3748,322,2,26,,167
"Hombres (016)",4196,4,3265,115,573,128,2,9,,100
"Mujeres (017)",4599,2,1092,52,3175,194,,17,,67
,,,,,,,,,,
"AREA URBANA (018)",55734,23703,5109,461,24844,381,39,132,72,993
"Hombres (019)",19731,11819,3638,290,3088,157,32,62,72,573
"Mujeres (020)",36003,11884,1471,171,21756,224,7,70,,420
"De 06 a 14 años (021)",17052,16469,,,359,85,,10,,129
"Hombres (022)",8595,8332,,,152,40,,3,,68
"Mujeres (023)",8457,8137,,,207,45,,7,,61
"De 15 a 29 años (024)",14412,7008,28,81,6799,,11,45,72,368
"Hombres (025)",4760,3404,14,45,998,,8,27,72,192
"Mujeres (026)",9652,3604,14,36,5801,,3,18,,176
"De 30 a 44 años (027)",8023,176,102,94,7422,,14,26,,189
"Hombres (028)",1020,68,44,55,711,,11,10,,121
"Mujeres (029)",7003,108,58,39,6711,,3,16,,68
"De 45 a 64 años (030)",8333,44,931,151,6983,4,12,29,,179
"Hombres (031)",1540,11,553,99,727,3,11,15,,121
"Mujeres (032)",6793,33,378,52,6256,1,1,14,,58
"De 65 y más años (033)",7914,6,4048,135,3281,292,2,22,,128
"Hombres (034)",3816,4,3027,91,500,114,2,7,,71
"Mujeres (035)",4098,2,1021,44,2781,178,,15,,57
,,,,,,,,,,
"AREA RURAL (036)",7420,2991,383,62,3767,42,1,29,,145
"Hombres (037)",2224,1473,284,37,305,21,1,22,,81
"Mujeres (038)",5196,1518,99,25,3462,21,,7,,64
"De 06 a 14 años (039)",2282,2184,,,52,12,,4,,30
"Hombres (040)",1147,1104,,,18,7,,3,,15
"Mujeres (041)",1135,1080,,,34,5,,1,,15
"De 15 a 29 años (042)",1953,792,1,8,1113,,1,3,,35
"Hombres (043)",472,368,1,3,85,,1,3,,11
"Mujeres (044)",1481,424,,5,1028,,,,,24
"De 30 a 44 años (045)",1140,10,2,8,1092,,,9,,19
"Hombres (046)",90,1,2,3,66,,,6,,12
"Mujeres (047)",1050,9,,5,1026,,,3,,7
"De 45 a 64 años (048)",1164,5,71,14,1043,,,9,,22
"Hombres (049)",135,,43,7,63,,,8,,14
"Mujeres (050)",1029,5,28,7,980,,,1,,8
"De 65 y más años (051)",881,,309,32,467,30,,4,,39
"Hombres (052)",380,,238,24,73,14,,2,,29
"Mujeres (053)",501,,71,8,394,16,,2,,10
