"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia RECUAY (000)",499,3,226,145,105,20
"Sin nivel (001)",23,,2,11,5,5
"Educación inicial (002)",2,,,2,,
"Primaria (003)",141,2,34,37,57,11
"Secundaria (004)",211,1,130,57,21,2
"Superior no univ. incompleta (005)",36,,18,10,7,1
"Superior no univ. completa (006)",48,,25,14,9,
"Superior univ. incompleta (007)",10,,6,,4,
"Superior univ. completa (008)",28,,11,14,2,1
"Hombres (010)",406,2,174,122,89,19
"Sin nivel (011)",20,,2,10,4,4
"Educación inicial (012)",1,,,1,,
"Primaria (013)",116,1,21,33,50,11
"Secundaria (014)",178,1,104,52,19,2
"Superior no univ. incompleta (015)",29,,17,7,4,1
"Superior no univ. completa (016)",36,,18,10,8,
"Superior univ. incompleta (017)",9,,5,,4,
"Superior univ. completa (018)",17,,7,9,,1
"Mujeres (020)",93,1,52,23,16,1
"Sin nivel (021)",3,,,1,1,1
"Educación inicial (022)",1,,,1,,
"Primaria (023)",25,1,13,4,7,
"Secundaria (024)",33,,26,5,2,
"Superior no univ. incompleta (025)",7,,1,3,3,
"Superior no univ. completa (026)",12,,7,4,1,
"Superior univ. incompleta (027)",1,,1,,,
"Superior univ. completa (028)",11,,4,5,2,
,,,,,,
"Area Urbana (030)",319,3,135,93,72,16
"Sin nivel (031)",16,,1,6,5,4
"Educación inicial (032)",2,,,2,,
"Primaria (033)",79,2,10,20,38,9
"Secundaria (034)",127,1,74,36,14,2
"Superior no univ. incompleta (035)",28,,14,7,7,
"Superior no univ. completa (036)",34,,21,10,3,
"Superior univ. incompleta (037)",9,,6,,3,
"Superior univ. completa (038)",24,,9,12,2,1
"Hombres (040)",253,2,104,75,57,15
"Sin nivel (041)",13,,1,5,4,3
"Educación inicial (042)",1,,,1,,
"Primaria (043)",66,1,6,18,32,9
"Secundaria (044)",107,1,60,32,12,2
"Superior no univ. incompleta (045)",22,,13,5,4,
"Superior no univ. completa (046)",23,,14,7,2,
"Superior univ. incompleta (047)",8,,5,,3,
"Superior univ. completa (048)",13,,5,7,,1
"Mujeres (050)",66,1,31,18,15,1
"Sin nivel (051)",3,,,1,1,1
"Educación inicial (052)",1,,,1,,
"Primaria (053)",13,1,4,2,6,
"Secundaria (054)",20,,14,4,2,
"Superior no univ. incompleta (055)",6,,1,2,3,
"Superior no univ. completa (056)",11,,7,3,1,
"Superior univ. incompleta (057)",1,,1,,,
"Superior univ. completa (058)",11,,4,5,2,
,,,,,,
"Area Rural (060)",180,,91,52,33,4
"Sin nivel (061)",7,,1,5,,1
"Primaria (063)",62,,24,17,19,2
"Secundaria (064)",84,,56,21,7,
"Superior no univ. incompleta (065)",8,,4,3,,1
"Superior no univ. completa (066)",14,,4,4,6,
"Superior univ. incompleta (067)",1,,,,1,
"Superior univ. completa (068)",4,,2,2,,
"Hombres (070)",153,,70,47,32,4
"Sin nivel (071)",7,,1,5,,1
"Primaria (073)",50,,15,15,18,2
"Secundaria (074)",71,,44,20,7,
"Superior no univ. incompleta (075)",7,,4,2,,1
"Superior no univ. completa (076)",13,,4,3,6,
"Superior univ. incompleta (077)",1,,,,1,
"Superior univ. completa (078)",4,,2,2,,
"Mujeres (080)",27,,21,5,1,
"Primaria (083)",12,,9,2,1,
"Secundaria (084)",13,,12,1,,
"Superior no univ. incompleta (085)",1,,,1,,
"Superior no univ. completa (086)",1,,,1,,
