"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SAN MARTIN (000)",68718,1553,23986,24642,15900,2637
"Empleado (001)",18436,103,7129,7357,3680,167
"Obrero (002)",9535,175,3834,3304,1954,268
"Trabajador independiente (003)",28602,259,7585,10766,8248,1744
"Empleador o patrono (004)",1728,2,426,673,502,125
"Trabajador familiar no remunerado (005)",5464,770,2371,1271,852,200
"Trabajador del hogar (006)",2964,190,1608,718,366,82
"Desocupado (008)",1989,54,1033,553,298,51
"Hombres (009)",45234,1007,15605,15809,10905,1908
"Empleado (010)",10417,66,3699,4157,2372,123
"Obrero (011)",8276,158,3420,2772,1706,220
"Trabajador independiente (012)",20875,191,5821,7570,5956,1337
"Empleador o patrono (013)",1368,1,335,524,402,106
"Trabajador familiar no remunerado (014)",2848,541,1619,396,220,72
"Trabajador del hogar (015)",124,14,65,24,12,9
"Desocupado (017)",1326,36,646,366,237,41
"Mujeres (018)",23484,546,8381,8833,4995,729
"Empleado (019)",8019,37,3430,3200,1308,44
"Obrero (020)",1259,17,414,532,248,48
"Trabajador independiente (021)",7727,68,1764,3196,2292,407
"Empleador o patrono (022)",360,1,91,149,100,19
"Trabajador familiar no remunerado (023)",2616,229,752,875,632,128
"Trabajador del hogar (024)",2840,176,1543,694,354,73
"Desocupado (026)",663,18,387,187,61,10
,,,,,,
"URBANA (027)",62623,1276,21751,22761,14559,2276
"Empleado (028)",18141,101,7001,7238,3636,165
"Obrero (029)",8732,156,3494,3037,1805,240
"Trabajador independiente (030)",25400,221,6643,9692,7358,1486
"Empleador o patrono (031)",1514,2,373,589,449,101
"Trabajador familiar no remunerado (032)",4147,571,1713,1009,687,167
"Trabajador del hogar (033)",2864,184,1559,693,354,74
"Desocupado (035)",1825,41,968,503,270,43
"Hombres (036)",40449,819,13858,14320,9845,1607
"Empleado (037)",10200,64,3605,4073,2337,121
"Obrero (038)",7620,140,3136,2559,1587,198
"Trabajador independiente (039)",18064,164,5025,6602,5171,1102
"Empleador o patrono (040)",1177,1,290,446,357,83
"Trabajador familiar no remunerado (041)",2076,407,1151,293,167,58
"Trabajador del hogar (042)",118,14,62,21,12,9
"Desocupado (044)",1194,29,589,326,214,36
"Mujeres (045)",22174,457,7893,8441,4714,669
"Empleado (046)",7941,37,3396,3165,1299,44
"Obrero (047)",1112,16,358,478,218,42
"Trabajador independiente (048)",7336,57,1618,3090,2187,384
"Empleador o patrono (049)",337,1,83,143,92,18
"Trabajador familiar no remunerado (050)",2071,164,562,716,520,109
"Trabajador del hogar (051)",2746,170,1497,672,342,65
"Desocupado (053)",631,12,379,177,56,7
,,,,,,
"RURAL (054)",6095,277,2235,1881,1341,361
"Empleado (055)",295,2,128,119,44,2
"Obrero (056)",803,19,340,267,149,28
"Trabajador independiente (057)",3202,38,942,1074,890,258
"Empleador o patrono (058)",214,,53,84,53,24
"Trabajador familiar no remunerado (059)",1317,199,658,262,165,33
"Trabajador del hogar (060)",100,6,49,25,12,8
"Desocupado (062)",164,13,65,50,28,8
"Hombres (063)",4785,188,1747,1489,1060,301
"Empleado (064)",217,2,94,84,35,2
"Obrero (065)",656,18,284,213,119,22
"Trabajador independiente (066)",2811,27,796,968,785,235
"Empleador o patrono (067)",191,,45,78,45,23
"Trabajador familiar no remunerado (068)",772,134,468,103,53,14
"Trabajador del hogar (069)",6,,3,3,,
"Desocupado (071)",132,7,57,40,23,5
"Mujeres (072)",1310,89,488,392,281,60
"Empleado (073)",78,,34,35,9,
"Obrero (074)",147,1,56,54,30,6
"Trabajador independiente (075)",391,11,146,106,105,23
"Empleador o patrono (076)",23,,8,6,8,1
"Trabajador familiar no remunerado (077)",545,65,190,159,112,19
"Trabajador del hogar (078)",94,6,46,22,12,8
"Desocupado (080)",32,6,8,10,5,3
