"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia PACASMAYO (000)",37334,35531,10031,5770,5987,4659,4804,2344,1936,1803
"Católica (001)",28526,27051,7803,4553,4731,3499,3506,1640,1319,1475
"Cristiana/Evangélica (002)",6693,6436,1548,871,954,899,1074,589,501,257
"Otra (003)",1014,978,306,113,144,127,139,67,82,36
"Ninguna (004)",1101,1066,374,233,158,134,85,48,34,35
,,,,,,,,,,
"URBANA (006)",34898,33171,9404,5415,5683,4382,4461,2095,1731,1727
"Católica (007)",26765,25345,7334,4295,4499,3299,3263,1470,1185,1420
"Cristiana/Evangélica (008)",6155,5916,1432,798,896,836,986,525,443,239
"Otra (009)",960,926,291,105,139,124,131,62,74,34
"Ninguna (010)",1018,984,347,217,149,123,81,38,29,34
,,,,,,,,,,
"RURAL (012)",2436,2360,627,355,304,277,343,249,205,76
"Católica (013)",1761,1706,469,258,232,200,243,170,134,55
"Cristiana/Evangélica (014)",538,520,116,73,58,63,88,64,58,18
"Otra (015)",54,52,15,8,5,3,8,5,8,2
"Ninguna (016)",83,82,27,16,9,11,4,10,5,1
