"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CELENDIN",,,,,,,,,
"Viviendas particulares (001)",1535,742,254,106,167,15,28,19,204
"Ocupantes presentes (002)",6616,3171,1052,479,714,59,108,93,940
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",1521,738,252,104,167,15,28,19,198
"Ocupantes presentes (005)",6567,3162,1044,469,714,59,108,93,918
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",1,,1,,,,,,
"Ocupantes presentes (011)",1,,1,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",3,2,1,,,,,,
"Ocupantes presentes (014)",11,4,7,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",8,1,,2,,,,,5
"Ocupantes presentes (017)",32,3,,10,,,,,19
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",1,1,,,,,,,
"Ocupantes presentes (020)",2,2,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",1,,,,,,,,1
"Ocupantes presentes (023)",3,,,,,,,,3
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",251,120,35,28,23,5,3,13,24
"Ocupantes presentes (029)",1057,473,150,115,106,23,10,65,115
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",246,117,33,28,23,5,3,13,24
"Ocupantes presentes (032)",1043,467,142,115,106,23,10,65,115
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",1,,1,,,,,,
"Ocupantes presentes (038)",1,,1,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",3,2,1,,,,,,
"Ocupantes presentes (041)",11,4,7,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",1,1,,,,,,,
"Ocupantes presentes (047)",2,2,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",1284,622,219,78,144,10,25,6,180
"Ocupantes presentes (056)",5559,2698,902,364,608,36,98,28,825
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",1275,621,219,76,144,10,25,6,174
"Ocupantes presentes (059)",5524,2695,902,354,608,36,98,28,803
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",8,1,,2,,,,,5
"Ocupantes presentes (071)",32,3,,10,,,,,19
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,,,,,,1
"Ocupantes presentes (077)",3,,,,,,,,3
"Otro tipo",,,,,,,,,
