"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia DOS DE MAYO (000)",16240,15841,5331,1591,1430,1249,2094,1725,2421,399
"Católica (001)",12902,12577,4350,1329,1171,1013,1647,1301,1766,325
"Cristiana/Evangélica (002)",3116,3050,885,237,246,222,421,411,628,66
"Otra (003)",128,121,41,10,9,9,19,8,25,7
"Ninguna (004)",94,93,55,15,4,5,7,5,2,1
,,,,,,,,,,
"URBANA (006)",5999,5888,1971,721,648,507,804,560,677,111
"Católica (007)",4752,4662,1601,597,543,414,620,417,470,90
"Cristiana/Evangélica (008)",1128,1111,320,105,97,85,169,138,197,17
"Otra (009)",72,68,27,7,7,5,12,1,9,4
"Ninguna (010)",47,47,23,12,1,3,3,4,1,
,,,,,,,,,,
"RURAL (012)",10241,9953,3360,870,782,742,1290,1165,1744,288
"Católica (013)",8150,7915,2749,732,628,599,1027,884,1296,235
"Cristiana/Evangélica (014)",1988,1939,565,132,149,137,252,273,431,49
"Otra (015)",56,53,14,3,2,4,7,7,16,3
"Ninguna (016)",47,46,32,3,3,2,4,1,1,1
