"CUADRO Nº 23: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia YAULI (000)",18796,4976,7609,5106,271,651,183
"Agric., ganadería, caza y silvicultura (001)",1463,30,572,581,33,247,
"Pesca (002)",69,3,13,46,1,6,
"Explotación de minas y canteras (003)",3876,590,3230,38,14,4,
"Industrias manufactureras (004)",1587,221,878,429,35,24,
"Suministro de electricidad, gas y agua (005)",100,31,64,5,,,
"Construcción (006)",1619,161,1185,251,13,9,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2894,503,323,1765,75,228,
"Venta, mant.y rep. veh.autom.y motoc. (008)",501,73,254,152,14,8,
"Comercio al por mayor (009)",95,36,11,35,5,8,
"Comercio al por menor (010)",2298,394,58,1578,56,212,
"Hoteles y restaurantes (011)",1140,437,104,525,37,37,
"Trans., almac. y comunicaciones (012)",1738,490,506,691,22,29,
"Intermediación financiera (013)",49,47,,,2,,
"Activid.inmobil., empres. y alquileres (014)",1194,844,234,94,19,3,
"Admin.pub. y defensa; p. segur.soc.afil (015)",459,379,80,,,,
"Enseñanza (016)",709,637,3,63,1,5,
"Servicios sociales y de salud (017)",252,215,3,29,3,2,
"Otras activ. serv.comun.soc y personales (018)",701,210,67,403,7,14,
"Hogares privados con servicio doméstico (019)",183,,,,,,183
"Actividad economica no especificada (021)",763,178,347,186,9,43,
"Hombres (022)",13825,3170,7173,3019,178,273,12
"Agric., ganadería, caza y silvicultura (023)",1057,25,417,454,28,133,
"Pesca (024)",57,3,13,37,1,3,
"Explotación de minas y canteras (025)",3801,544,3202,37,14,4,
"Industrias manufactureras (026)",1381,189,852,303,24,13,
"Suministro de electricidad, gas y agua (027)",97,28,64,5,,,
"Construcción (028)",1576,144,1165,245,13,9,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1452,244,318,796,37,57,
"Venta, mant.y rep. veh.autom.y motoc. (030)",473,65,251,139,14,4,
"Comercio al por mayor (031)",49,14,10,20,4,1,
"Comercio al por menor (032)",930,165,57,637,19,52,
"Hoteles y restaurantes (033)",413,159,68,155,17,14,
"Trans., almac. y comunicaciones (034)",1622,408,499,676,19,20,
"Intermediación financiera (035)",32,30,,,2,,
"Activid.inmobil., empres. y alquileres (036)",928,646,201,70,11,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",321,270,51,,,,
"Enseñanza (038)",280,246,3,30,,1,
"Servicios sociales y de salud (039)",74,55,1,17,1,,
"Otras activ. serv.comun.soc y personales (040)",274,93,49,123,5,4,
"Hogares privados con servicio doméstico (041)",12,,,,,,12
"Actividad economica no especificada (043)",448,86,270,71,6,15,
"Mujeres (044)",4971,1806,436,2087,93,378,171
"Agric., ganadería, caza y silvicultura (045)",406,5,155,127,5,114,
"Pesca (046)",12,,,9,,3,
"Explotación de minas y canteras (047)",75,46,28,1,,,
"Industrias manufactureras (048)",206,32,26,126,11,11,
"Suministro de electricidad, gas y agua (049)",3,3,,,,,
"Construcción (050)",43,17,20,6,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",1442,259,5,969,38,171,
"Venta, mant.y rep. veh.autom.y motoc. (052)",28,8,3,13,,4,
"Comercio al por mayor (053)",46,22,1,15,1,7,
"Comercio al por menor (054)",1368,229,1,941,37,160,
"Hoteles y restaurantes (055)",727,278,36,370,20,23,
"Trans., almac. y comunicaciones (056)",116,82,7,15,3,9,
"Intermediación financiera (057)",17,17,,,,,
"Activid.inmobil., empres. y alquileres (058)",266,198,33,24,8,3,
"Admin.pub. y defensa; p. segur.soc.afil (059)",138,109,29,,,,
"Enseñanza (060)",429,391,,33,1,4,
"Servicios sociales y de salud (061)",178,160,2,12,2,2,
"Otras activ. serv.comun.soc y personales (062)",427,117,18,280,2,10,
"Hogares privados con servicio doméstico (063)",171,,,,,,171
"Actividad economica no especificada (065)",315,92,77,115,3,28,
,,,,,,,
"URBANA (066)",16261,4612,6253,4525,246,448,177
"Agric., ganadería, caza y silvicultura (067)",494,23,161,225,14,71,
"Pesca (068)",27,1,9,16,,1,
"Explotación de minas y canteras (069)",3128,461,2615,35,14,3,
"Industrias manufactureras (070)",1548,220,857,413,34,24,
"Suministro de electricidad, gas y agua (071)",68,28,35,5,,,
"Construcción (072)",1514,154,1096,242,13,9,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",2743,480,297,1675,73,218,
"Venta, mant.y rep. veh.autom.y motoc. (074)",455,68,240,130,13,4,
"Comercio al por mayor (075)",88,34,7,34,5,8,
"Comercio al por menor (076)",2200,378,50,1511,55,206,
"Hoteles y restaurantes (077)",1063,412,87,499,35,30,
"Trans., almac. y comunicaciones (078)",1616,461,432,672,22,29,
"Intermediación financiera (079)",49,47,,,2,,
"Activid.inmobil., empres. y alquileres (080)",1085,759,215,89,19,3,
"Admin.pub. y defensa; p. segur.soc.afil (081)",431,360,71,,,,
"Enseñanza (082)",695,625,3,61,1,5,
"Servicios sociales y de salud (083)",244,208,3,28,3,2,
"Otras activ. serv.comun.soc y personales (084)",668,202,61,386,7,12,
"Hogares privados con servicio doméstico (085)",177,,,,,,177
"Actividad economica no especificada (087)",711,171,311,179,9,41,
"Hombres (088)",11792,2863,5979,2609,159,171,11
"Agric., ganadería, caza y silvicultura (089)",388,18,136,182,13,39,
"Pesca (090)",25,1,9,15,,,
"Explotación de minas y canteras (091)",3063,422,2590,34,14,3,
"Industrias manufactureras (092)",1347,188,831,292,23,13,
"Suministro de electricidad, gas y agua (093)",65,25,35,5,,,
"Construcción (094)",1473,138,1077,236,13,9,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",1358,226,292,750,36,54,
"Venta, mant.y rep. veh.autom.y motoc. (096)",434,60,237,121,13,3,
"Comercio al por mayor (097)",42,12,6,19,4,1,
"Comercio al por menor (098)",882,154,49,610,19,50,
"Hoteles y restaurantes (099)",385,152,59,145,16,13,
"Trans., almac. y comunicaciones (100)",1502,380,426,657,19,20,
"Intermediación financiera (101)",32,30,,,2,,
"Activid.inmobil., empres. y alquileres (102)",833,568,187,67,11,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",297,254,43,,,,
"Enseñanza (104)",271,237,3,30,,1,
"Servicios sociales y de salud (105)",71,53,1,16,1,,
"Otras activ. serv.comun.soc y personales (106)",254,89,44,112,5,4,
"Hogares privados con servicio doméstico (107)",11,,,,,,11
"Actividad economica no especificada (109)",417,82,246,68,6,15,
"Mujeres (110)",4469,1749,274,1916,87,277,166
"Agric., ganadería, caza y silvicultura (111)",106,5,25,43,1,32,
"Pesca (112)",2,,,1,,1,
"Explotación de minas y canteras (113)",65,39,25,1,,,
"Industrias manufactureras (114)",201,32,26,121,11,11,
"Suministro de electricidad, gas y agua (115)",3,3,,,,,
"Construcción (116)",41,16,19,6,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",1385,254,5,925,37,164,
"Venta, mant.y rep. veh.autom.y motoc. (118)",21,8,3,9,,1,
