"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CHANCHAMAYO (000)",166385,3331,57257,46038,32225,20868,6666
"Casa independiente (001)",130139,2526,44289,35741,25464,16652,5467
"Departamento en edificio (002)",1863,31,525,497,477,266,67
"Vivienda en quinta (003)",3729,87,1193,1174,793,392,90
"Vivienda en casa de vecindad (004)",4124,86,1405,1191,857,453,132
"Choza o cabaña (005)",24752,564,9178,6982,4269,2893,866
"Vivienda improvisada (006)",1321,29,525,334,245,155,33
"Local no destinado para hab.humana (007)",374,7,118,96,93,51,9
"Otro tipo (008)",83,1,24,23,27,6,2
,,,,,,,
"URBANA (009)",94150,1782,31737,26446,19176,11678,3331
"Casa independiente (010)",82738,1543,27966,23163,16699,10367,3000
"Departamento en edificio (011)",1863,31,525,497,477,266,67
"Vivienda en quinta (012)",3729,87,1193,1174,793,392,90
"Vivienda en casa de vecindad (013)",4124,86,1405,1191,857,453,132
"Vivienda improvisada (015)",1321,29,525,334,245,155,33
"Local no destinado para hab.humana (016)",311,6,102,70,83,43,7
"Otro tipo (017)",64,,21,17,22,2,2
,,,,,,,
"RURAL (018)",72235,1549,25520,19592,13049,9190,3335
"Casa independiente (019)",47401,983,16323,12578,8765,6285,2467
"Choza o cabaña (023)",24752,564,9178,6982,4269,2893,866
"Local no destinado para hab.humana (025)",63,1,16,26,10,8,2
"Otro tipo (026)",19,1,3,6,5,4,
