"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia SANTA CRUZ",,,,,,,,,
"Hogares (001)",10960,238,97,45,46,38,17,22,10457
"Ocupantes presentes (002)",43553,844,321,154,187,172,65,112,41698
"Casa independiente",,,,,,,,,
"Hogares (004)",10534,228,96,44,41,38,17,22,10048
"Ocupantes presentes (005)",41928,796,316,151,160,172,65,112,40156
"Departamento en edificio",,,,,,,,,
"Hogares (007)",5,,,,1,,,,4
"Ocupantes presentes (008)",23,,,,11,,,,12
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",12,,,,,,,,12
"Ocupantes presentes (011)",40,,,,,,,,40
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",7,2,,,,,,,5
"Ocupantes presentes (014)",29,22,,,,,,,7
"Choza o cabaña",,,,,,,,,
"Hogares (016)",393,8,1,,3,,,,381
"Ocupantes presentes (017)",1512,26,5,,12,,,,1469
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",1,,,,,,,,1
"Ocupantes presentes (020)",1,,,,,,,,1
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",7,,,1,1,,,,5
"Ocupantes presentes (023)",18,,,3,4,,,,11
"Otro tipo",,,,,,,,,
"Hogares (025)",1,,,,,,,,1
"Ocupantes presentes (026)",2,,,,,,,,2
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",2362,106,50,27,22,27,9,15,2106
"Ocupantes presentes (029)",8890,374,160,80,89,121,33,71,7962
"Casa independiente",,,,,,,,,
"Hogares (031)",2331,104,50,26,20,27,9,15,2080
"Ocupantes presentes (032)",8781,352,160,77,74,121,33,71,7893
"Departamento en edificio",,,,,,,,,
"Hogares (034)",5,,,,1,,,,4
"Ocupantes presentes (035)",23,,,,11,,,,12
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",12,,,,,,,,12
"Ocupantes presentes (038)",40,,,,,,,,40
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",7,2,,,,,,,5
"Ocupantes presentes (041)",29,22,,,,,,,7
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",1,,,,,,,,1
"Ocupantes presentes (047)",1,,,,,,,,1
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",5,,,1,1,,,,3
"Ocupantes presentes (050)",14,,,3,4,,,,7
"Otro tipo",,,,,,,,,
"Hogares (052)",1,,,,,,,,1
"Ocupantes presentes (053)",2,,,,,,,,2
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",8598,132,47,18,24,11,8,7,8351
"Ocupantes presentes (056)",34663,470,161,74,98,51,32,41,33736
"Casa independiente",,,,,,,,,
"Hogares (058)",8203,124,46,18,21,11,8,7,7968
"Ocupantes presentes (059)",33147,444,156,74,86,51,32,41,32263
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",393,8,1,,3,,,,381
"Ocupantes presentes (071)",1512,26,5,,12,,,,1469
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",2,,,,,,,,2
"Ocupantes presentes (077)",4,,,,,,,,4
"Otro tipo",,,,,,,,,
