"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia PARURO (000)",14204,2375,5112,3781,2936
"Asiste actualmente (001)",10213,924,4845,3492,952
"No asiste (002)",3991,1451,267,289,1984
"Hombres (004)",7469,1238,2683,2004,1544
"Asiste actualmente (005)",5509,462,2549,1888,610
"No asiste (006)",1960,776,134,116,934
"Mujeres (008)",6735,1137,2429,1777,1392
"Asiste actualmente (009)",4704,462,2296,1604,342
"No asiste (010)",2031,675,133,173,1050
,,,,,
"URBANA (012)",4644,716,1531,1358,1039
"Asiste actualmente (013)",3581,339,1472,1299,471
"No asiste (014)",1063,377,59,59,568
"Hombres (016)",2451,369,821,710,551
"Asiste actualmente (017)",1922,166,798,681,277
"No asiste (018)",529,203,23,29,274
"Mujeres (020)",2193,347,710,648,488
"Asiste actualmente (021)",1659,173,674,618,194
"No asiste (022)",534,174,36,30,294
,,,,,
"RURAL (024)",9560,1659,3581,2423,1897
"Asiste actualmente (025)",6632,585,3373,2193,481
"No asiste (026)",2928,1074,208,230,1416
"Hombres (028)",5018,869,1862,1294,993
"Asiste actualmente (029)",3587,296,1751,1207,333
"No asiste (030)",1431,573,111,87,660
"Mujeres (032)",4542,790,1719,1129,904
"Asiste actualmente (033)",3045,289,1622,986,148
"No asiste (034)",1497,501,97,143,756
