"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia CHINCHA (000)",91754,45501,5060,1124,37452,999,7,225,13,1373
"Hombres (001)",32890,22885,3016,560,5145,448,3,127,13,693
"Mujeres (002)",58864,22616,2044,564,32307,551,4,98,,680
"De 06 a 14 años (003)",33744,32235,,,990,252,,29,,238
"Hombres (004)",17131,16451,,,416,133,,16,,115
"Mujeres (005)",16613,15784,,,574,119,,13,,123
"De 15 a 29 años (006)",25390,12896,34,256,11641,,2,55,13,493
"Hombres (007)",8322,6313,10,116,1599,,2,35,13,234
"Mujeres (008)",17068,6583,24,140,10042,,,20,,259
"De 30 a 44 años (009)",11183,283,75,210,10338,,3,56,,218
"Hombres (010)",1186,91,30,94,834,,,26,,111
"Mujeres (011)",9997,192,45,116,9504,,3,30,,107
"De 45 a 64 años (012)",11812,76,1274,349,9812,18,2,47,,234
"Hombres (013)",2254,22,673,198,1180,10,1,31,,139
"Mujeres (014)",9558,54,601,151,8632,8,1,16,,95
"De 65 y más años (015)",9625,11,3677,309,4671,729,,38,,190
"Hombres (016)",3997,8,2303,152,1116,305,,19,,94
"Mujeres (017)",5628,3,1374,157,3555,424,,19,,96
,,,,,,,,,,
"AREA URBANA (018)",80952,40446,4312,937,32909,886,7,189,9,1257
"Hombres (019)",29068,20292,2580,456,4597,390,3,107,9,634
"Mujeres (020)",51884,20154,1732,481,28312,496,4,82,,623
"De 06 a 14 años (021)",30027,28690,,,884,219,,23,,211
"Hombres (022)",15250,14651,,,367,115,,13,,104
"Mujeres (023)",14777,14039,,,517,104,,10,,107
"De 15 a 29 años (024)",22321,11423,27,202,10156,,2,47,9,455
"Hombres (025)",7315,5535,9,89,1425,,2,29,9,217
"Mujeres (026)",15006,5888,18,113,8731,,,18,,238
"De 30 a 44 años (027)",9790,258,69,168,9049,,3,48,,195
"Hombres (028)",1047,81,28,70,748,,,22,,98
"Mujeres (029)",8743,177,41,98,8301,,3,26,,97
"De 45 a 64 años (030)",10379,65,1137,292,8612,16,2,39,,216
"Hombres (031)",1991,17,613,161,1035,9,1,27,,128
"Mujeres (032)",8388,48,524,131,7577,7,1,12,,88
"De 65 y más años (033)",8435,10,3079,275,4208,651,,32,,180
"Hombres (034)",3465,8,1930,136,1022,266,,16,,87
"Mujeres (035)",4970,2,1149,139,3186,385,,16,,93
,,,,,,,,,,
"AREA RURAL (036)",10802,5055,748,187,4543,113,,36,4,116
"Hombres (037)",3822,2593,436,104,548,58,,20,4,59
"Mujeres (038)",6980,2462,312,83,3995,55,,16,,57
"De 06 a 14 años (039)",3717,3545,,,106,33,,6,,27
"Hombres (040)",1881,1800,,,49,18,,3,,11
"Mujeres (041)",1836,1745,,,57,15,,3,,16
"De 15 a 29 años (042)",3069,1473,7,54,1485,,,8,4,38
"Hombres (043)",1007,778,1,27,174,,,6,4,17
"Mujeres (044)",2062,695,6,27,1311,,,2,,21
"De 30 a 44 años (045)",1393,25,6,42,1289,,,8,,23
"Hombres (046)",139,10,2,24,86,,,4,,13
"Mujeres (047)",1254,15,4,18,1203,,,4,,10
"De 45 a 64 años (048)",1433,11,137,57,1200,2,,8,,18
"Hombres (049)",263,5,60,37,145,1,,4,,11
"Mujeres (050)",1170,6,77,20,1055,1,,4,,7
"De 65 y más años (051)",1190,1,598,34,463,78,,6,,10
"Hombres (052)",532,,373,16,94,39,,3,,7
"Mujeres (053)",658,1,225,18,369,39,,3,,3
