"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia YAROWILCA (000)",32339,594,13346,7047,4929,4383,2040
"Jefe o Jefa (001)",8207,,20,1507,2635,2676,1369
"Esposa(o) / compañera(o) (002)",4670,,7,1112,1694,1444,413
"Hijo(a) / hijastro(a) (003)",15975,467,11319,3730,378,80,1
"Yerno / nuera (004)",196,,9,136,43,7,1
"Nieto(a) (005)",1581,89,1312,175,5,,
"Padres / suegros (006)",239,,,,3,61,175
"Otro(a) pariente (007)",1230,32,594,313,134,91,66
"Trabajador(a) del hogar (008)",17,,2,8,2,5,
"Pensionistas (009)",2,,,1,,1,
"Otro(a) no pariente (010)",222,6,83,65,35,18,15
"Hombres (011)",15630,302,6745,3351,2252,1998,982
"Jefe o Jefa (012)",5626,,8,1017,1881,1842,878
"Esposa(o) / compañera(o) (013)",243,,4,70,82,59,28
"Hijo(a) / hijastro(a) (014)",8039,235,5643,1945,184,32,
"Yerno / nuera (015)",70,,5,43,18,3,1
"Nieto(a) (016)",837,47,702,86,2,,
"Padres / suegros (017)",55,,,,2,9,44
"Otro(a) pariente (018)",642,14,341,154,63,44,26
"Trabajador(a) del hogar (019)",10,,1,3,2,4,
"Pensionistas (020)",1,,,1,,,
"Otro(a) no pariente (021)",107,6,41,32,18,5,5
"Mujeres (022)",16709,292,6601,3696,2677,2385,1058
"Jefe o Jefa (023)",2581,,12,490,754,834,491
"Esposa(o) / compañera(o) (024)",4427,,3,1042,1612,1385,385
"Hijo(a) / hijastro(a) (025)",7936,232,5676,1785,194,48,1
"Yerno / nuera (026)",126,,4,93,25,4,
"Nieto(a) (027)",744,42,610,89,3,,
"Padres / suegros (028)",184,,,,1,52,131
"Otro(a) pariente (029)",588,18,253,159,71,47,40
"Trabajador(a) del hogar (030)",7,,1,5,,1,
"Pensionistas (031)",1,,,,,1,
"Otro(a) no pariente (032)",115,,42,33,17,13,10
,,,,,,,
"URBANA (033)",7883,131,3052,1906,1357,1016,421
"Jefe o Jefa (034)",2035,,6,434,699,618,278
"Esposa(o) / compañera(o) (035)",1120,,2,307,424,311,76
"Hijo(a) / hijastro(a) (036)",3782,109,2555,948,138,32,
"Yerno / nuera (037)",67,,1,42,22,2,
"Nieto(a) (038)",326,18,272,35,1,,
"Padres / suegros (039)",61,,,,2,19,40
"Otro(a) pariente (040)",419,4,198,112,55,28,22
"Trabajador(a) del hogar (041)",5,,2,2,,1,
"Pensionistas (042)",1,,,1,,,
"Otro(a) no pariente (043)",67,,16,25,16,5,5
"Hombres (044)",3883,68,1556,930,640,485,204
"Jefe o Jefa (045)",1419,,4,296,500,438,181
"Esposa(o) / compañera(o) (046)",69,,1,22,27,13,6
"Hijo(a) / hijastro(a) (047)",1927,58,1280,509,70,10,
"Yerno / nuera (048)",26,,1,14,10,1,
"Nieto(a) (049)",166,9,138,18,1,,
"Padres / suegros (050)",14,,,,1,2,11
"Otro(a) pariente (051)",228,1,124,59,23,18,3
"Trabajador(a) del hogar (052)",2,,1,,,1,
"Pensionistas (053)",1,,,1,,,
"Otro(a) no pariente (054)",31,,7,11,8,2,3
"Mujeres (055)",4000,63,1496,976,717,531,217
"Jefe o Jefa (056)",616,,2,138,199,180,97
"Esposa(o) / compañera(o) (057)",1051,,1,285,397,298,70
"Hijo(a) / hijastro(a) (058)",1855,51,1275,439,68,22,
"Yerno / nuera (059)",41,,,28,12,1,
"Nieto(a) (060)",160,9,134,17,,,
"Padres / suegros (061)",47,,,,1,17,29
"Otro(a) pariente (062)",191,3,74,53,32,10,19
"Trabajador(a) del hogar (063)",3,,1,2,,,
"Otro(a) no pariente (065)",36,,9,14,8,3,2
,,,,,,,
"RURAL (066)",24456,463,10294,5141,3572,3367,1619
"Jefe o Jefa (067)",6172,,14,1073,1936,2058,1091
"Esposa(o) / compañera(o) (068)",3550,,5,805,1270,1133,337
"Hijo(a) / hijastro(a) (069)",12193,358,8764,2782,240,48,1
"Yerno / nuera (070)",129,,8,94,21,5,1
"Nieto(a) (071)",1255,71,1040,140,4,,
"Padres / suegros (072)",178,,,,1,42,135
"Otro(a) pariente (073)",811,28,396,201,79,63,44
"Trabajador(a) del hogar (074)",12,,,6,2,4,
"Pensionistas (075)",1,,,,,1,
"Otro(a) no pariente (076)",155,6,67,40,19,13,10
"Hombres (077)",11747,234,5189,2421,1612,1513,778
"Jefe o Jefa (078)",4207,,4,721,1381,1404,697
"Esposa(o) / compañera(o) (079)",174,,3,48,55,46,22
"Hijo(a) / hijastro(a) (080)",6112,177,4363,1436,114,22,
"Yerno / nuera (081)",44,,4,29,8,2,1
"Nieto(a) (082)",671,38,564,68,1,,
"Padres / suegros (083)",41,,,,1,7,33
"Otro(a) pariente (084)",414,13,217,95,40,26,23
"Trabajador(a) del hogar (085)",8,,,3,2,3,
"Otro(a) no pariente (087)",76,6,34,21,10,3,2
"Mujeres (088)",12709,229,5105,2720,1960,1854,841
"Jefe o Jefa (089)",1965,,10,352,555,654,394
"Esposa(o) / compañera(o) (090)",3376,,2,757,1215,1087,315
"Hijo(a) / hijastro(a) (091)",6081,181,4401,1346,126,26,1
"Yerno / nuera (092)",85,,4,65,13,3,
"Nieto(a) (093)",584,33,476,72,3,,
"Padres / suegros (094)",137,,,,,35,102
"Otro(a) pariente (095)",397,15,179,106,39,37,21
"Trabajador(a) del hogar (096)",4,,,3,,1,
"Pensionistas (097)",1,,,,,1,
"Otro(a) no pariente (098)",79,,33,19,9,10,8
