"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ANDAHUAYLAS (000)",37097,444,14648,11562,3980,1286,536,210,36,,4395
"Catolica (001)",29748,328,11503,9369,3279,1088,425,168,29,,3559
"Cristiana / Evangelica (002)",6459,100,2839,1932,592,161,94,37,5,,699
"Otra (003)",554,12,183,156,72,25,14,2,2,,88
"Ninguna (004)",336,4,123,105,37,12,3,3,,,49
,,,,,,,,,,,
"URBANA (006)",16881,182,5775,4985,2104,774,308,122,19,,2612
"Catolica (007)",13758,137,4635,4079,1756,678,251,105,15,,2102
"Cristiana / Evangelica (008)",2567,35,990,747,264,69,42,12,3,,405
"Otra (009)",369,8,99,97,61,19,13,2,1,,69
"Ninguna (010)",187,2,51,62,23,8,2,3,,,36
,,,,,,,,,,,
"RURAL (012)",20216,262,8873,6577,1876,512,228,88,17,,1783
"Catolica (013)",15990,191,6868,5290,1523,410,174,63,14,,1457
"Cristiana / Evangelica (014)",3892,65,1849,1185,328,92,52,25,2,,294
"Otra (015)",185,4,84,59,11,6,1,,1,,19
"Ninguna (016)",149,2,72,43,14,4,1,,,,13
