"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CARAVELI (000)",11831,11411,3234,1924,1826,1315,1485,772,486,369,420,29304
"De 12 a 14 años (001)",1049,1045,1039,6,,,,,,,4,6
"De 15 a 19 años (002)",1412,1386,1176,184,24,2,,,,,26,238
"De 20 a 24 años (003)",1529,1391,458,638,236,50,9,,,,138,1298
"De 25 a 29 años (004)",1398,1313,181,459,444,165,60,4,,,85,2114
"De 30 a 34 años (005)",1311,1246,116,257,389,289,174,19,2,,65,2784
"De 35 a 39 años (006)",1159,1123,57,131,292,279,267,83,12,2,36,3355
"De 40 a 44 años (007)",915,896,47,72,163,184,278,100,36,16,19,3296
"De 45 a 49 años (008)",715,706,28,49,96,126,207,116,58,26,9,3054
"De 50 y más años (009)",2343,2305,132,128,182,220,490,450,378,325,38,13159
"PEA (010)",4187,3985,821,799,773,549,564,267,135,77,202,10173
"De 12 a 14 años (011)",31,31,29,2,,,,,,,,2
"De 15 a 19 años (012)",341,337,267,63,6,1,,,,,4,78
"De 20 a 24 años (013)",591,514,228,204,61,18,3,,,,77,392
"De 25 a 29 años (014)",561,514,100,193,154,57,9,1,,,47,715
"De 30 a 34 años (015)",590,553,81,135,174,104,54,4,1,,37,1056
"De 35 a 39 años (016)",555,542,34,82,147,135,113,28,2,1,13,1468
"De 40 a 44 años (017)",462,449,24,40,90,94,135,49,14,3,13,1559
"De 45 a 49 años (018)",362,359,18,29,65,59,104,50,22,12,3,1427
"De 50 y más años (019)",694,686,40,51,76,81,146,135,96,61,8,3476
"Ocupada (020)",4073,3875,783,773,756,541,554,259,134,75,198,9964
"De 12 a 14 años (021)",31,31,29,2,,,,,,,,2
"De 15 a 19 años (022)",313,309,245,58,5,1,,,,,4,71
