"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ILO (000)",63780,5630,21913,5455,31104
"Menos de 1 año (001)",1043,258,343,36,411
"De 1 a 14 años (002)",15936,2648,5442,970,6932
"De 15 a 29 años (003)",16749,1079,3575,1350,10798
"De 30 a 44 años (004)",15232,856,5823,1285,7370
"De 45 a 64 años (005)",11269,588,4781,1465,4530
"De 65 y mas años (006)",3551,201,1949,349,1063
"Hombres (008)",32332,2634,11392,3347,15159
"Menos de 1 año (009)",524,125,162,24,215
"De 1 a 14 años (010)",8149,1371,2778,505,3523
"De 15 a 29 años (011)",8323,418,1832,912,5185
"De 30 a 44 años (012)",7529,328,2955,811,3501
"De 45 a 64 años (013)",5835,280,2529,890,2207
"De 65 y mas años (014)",1972,112,1136,205,528
"Mujeres (016)",31448,2996,10521,2108,15945
"Menos de 1 año (017)",519,133,181,12,196
"De 1 a 14 años (018)",7787,1277,2664,465,3409
"De 15 a 29 años (019)",8426,661,1743,438,5613
"De 30 a 44 años (020)",7703,528,2868,474,3869
"De 45 a 64 años (021)",5434,308,2252,575,2323
"De 65 y mas años (022)",1579,89,813,144,535
,,,,,
"URBANA (024)",63068,5618,21769,5037,30963
"Menos de 1 año (025)",1042,258,342,36,411
"De 1 a 14 años (026)",15884,2644,5426,964,6906
"De 15 a 29 años (027)",16364,1076,3540,1039,10760
"De 30 a 44 años (028)",15100,855,5795,1223,7329
"De 45 a 64 años (029)",11160,584,4739,1432,4499
"De 65 y mas años (030)",3518,201,1927,343,1058
"Hombres (032)",31752,2630,11296,2964,15059
"Menos de 1 año (033)",523,125,161,24,215
"De 1 a 14 años (034)",8117,1371,2767,501,3506
"De 15 a 29 años (035)",7982,416,1806,623,5159
"De 30 a 44 años (036)",7415,327,2935,750,3469
"De 45 a 64 años (037)",5760,279,2502,863,2186
"De 65 y mas años (038)",1955,112,1125,203,524
"Mujeres (040)",31316,2988,10473,2073,15904
"Menos de 1 año (041)",519,133,181,12,196
"De 1 a 14 años (042)",7767,1273,2659,463,3400
"De 15 a 29 años (043)",8382,660,1734,416,5601
"De 30 a 44 años (044)",7685,528,2860,473,3860
"De 45 a 64 años (045)",5400,305,2237,569,2313
"De 65 y mas años (046)",1563,89,802,140,534
,,,,,
"RURAL (048)",712,12,144,418,141
"Menos de 1 año (049)",1,,1,,
"De 1 a 14 años (050)",52,4,16,6,26
"De 15 a 29 años (051)",385,3,35,311,38
"De 30 a 44 años (052)",132,1,28,62,41
"De 45 a 64 años (053)",109,4,42,33,31
"De 65 y mas años (054)",33,,22,6,5
"Hombres (056)",580,4,96,383,100
"Menos de 1 año (057)",1,,1,,
"De 1 a 14 años (058)",32,,11,4,17
"De 15 a 29 años (059)",341,2,26,289,26
"De 30 a 44 años (060)",114,1,20,61,32
"De 45 a 64 años (061)",75,1,27,27,21
"De 65 y mas años (062)",17,,11,2,4
"Mujeres (064)",132,8,48,35,41
"De 1 a 14 años (066)",20,4,5,2,9
"De 15 a 29 años (067)",44,1,9,22,12
"De 30 a 44 años (068)",18,,8,1,9
"De 45 a 64 años (069)",34,3,15,6,10
"De 65 y mas años (070)",16,,11,4,1
