"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUAYTARA (000)",8037,7827,1980,882,834,768,1204,905,701,553,210,28129
"De 12 a 14 años (001)",686,683,679,3,1,,,,,,3,5
"De 15 a 19 años (002)",869,852,725,110,15,1,1,,,,17,147
"De 20 a 24 años (003)",786,725,216,274,165,50,14,6,,,61,852
"De 25 a 29 años (004)",663,616,84,165,167,109,81,8,2,,47,1236
"De 30 a 34 años (005)",687,660,53,80,120,156,182,58,11,,27,2049
"De 35 a 39 años (006)",648,629,23,60,103,115,187,96,33,12,19,2455
"De 40 a 44 años (007)",584,572,29,33,67,84,141,97,93,28,12,2751
"De 45 a 49 años (008)",526,520,22,30,50,55,112,102,91,58,6,2859
"De 50 y más años (009)",2588,2570,149,127,146,198,486,538,471,455,18,15775
"PEA (010)",2383,2288,382,331,329,266,387,239,211,143,95,8402
"De 12 a 14 años (011)",33,32,31,1,,,,,,,1,1
"De 15 a 19 años (012)",148,144,116,23,5,,,,,,4,33
"De 20 a 24 años (013)",263,239,92,91,36,12,6,2,,,24,238
"De 25 a 29 años (014)",244,217,42,61,52,34,22,4,2,,27,401
"De 30 a 34 años (015)",259,241,29,44,56,45,53,10,4,,18,617
"De 35 a 39 años (016)",279,267,9,41,58,54,65,31,9,,12,878
"De 40 a 44 años (017)",233,229,12,12,45,42,54,29,34,1,4,943
"De 45 a 49 años (018)",201,200,9,16,29,18,46,40,26,16,1,987
"De 50 y más años (019)",723,719,42,42,48,61,141,123,136,126,4,4304
"Ocupada (020)",2306,2216,351,325,319,263,380,233,207,138,90,8211
"De 12 a 14 años (021)",33,32,31,1,,,,,,,1,1
"De 15 a 19 años (022)",129,125,98,22,5,,,,,,4,32
"De 20 a 24 años (023)",247,226,81,90,35,12,6,2,,,21,235
