"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ANDAHUAYLAS (000)",142511,2760,50893,35491,25657,18093,9617
"Jefe o Jefa (001)",36110,,124,6436,12956,10813,5781
"Esposa(o) / compañera(o) (002)",24075,,70,6248,9755,6030,1972
"Hijo(a) / hijastro(a) (003)",66908,2160,44346,18322,1757,307,16
"Yerno / nuera (004)",1310,,19,935,321,30,5
"Nieto(a) (005)",4667,461,3607,572,27,,
"Padres / suegros (006)",1745,,,1,19,350,1375
"Otro(a) pariente (007)",6077,131,2476,2058,574,431,407
"Trabajador(a) del hogar (008)",232,,14,190,16,9,3
"Pensionistas (009)",78,,7,54,10,7,
"Otro(a) no pariente (010)",1309,8,230,675,222,116,58
"Hombres (011)",69362,1368,26020,17217,12254,8498,4005
"Jefe o Jefa (012)",26459,,47,4903,10380,7746,3383
"Esposa(o) / compañera(o) (013)",1299,,41,409,452,278,119
"Hijo(a) / hijastro(a) (014)",34257,1055,22610,9711,772,103,6
"Yerno / nuera (015)",649,,9,395,217,24,4
"Nieto(a) (016)",2437,238,1880,302,17,,
"Padres / suegros (017)",427,,,1,8,87,331
"Otro(a) pariente (018)",3058,70,1308,1072,280,189,139
"Trabajador(a) del hogar (019)",28,,3,23,1,,1
"Pensionistas (020)",38,,3,26,4,5,
"Otro(a) no pariente (021)",710,5,119,375,123,66,22
"Mujeres (022)",73149,1392,24873,18274,13403,9595,5612
"Jefe o Jefa (023)",9651,,77,1533,2576,3067,2398
"Esposa(o) / compañera(o) (024)",22776,,29,5839,9303,5752,1853
"Hijo(a) / hijastro(a) (025)",32651,1105,21736,8611,985,204,10
"Yerno / nuera (026)",661,,10,540,104,6,1
"Nieto(a) (027)",2230,223,1727,270,10,,
"Padres / suegros (028)",1318,,,,11,263,1044
"Otro(a) pariente (029)",3019,61,1168,986,294,242,268
"Trabajador(a) del hogar (030)",204,,11,167,15,9,2
"Pensionistas (031)",40,,4,28,6,2,
"Otro(a) no pariente (032)",599,3,111,300,99,50,36
,,,,,,,
"URBANA (033)",63451,1188,21343,17055,12650,7761,3454
"Jefe o Jefa (034)",16267,,90,3128,6362,4689,1998
"Esposa(o) / compañera(o) (035)",10143,,37,2623,4472,2392,619
"Hijo(a) / hijastro(a) (036)",28132,901,17863,8257,965,139,7
"Yerno / nuera (037)",653,,10,404,210,27,2
"Nieto(a) (038)",2170,211,1670,273,16,,
"Padres / suegros (039)",777,,,1,11,170,595
"Otro(a) pariente (040)",3887,70,1464,1527,394,243,189
"Trabajador(a) del hogar (041)",214,,13,178,14,7,2
"Pensionistas (042)",74,,6,53,9,6,
"Otro(a) no pariente (043)",1134,6,190,611,197,88,42
"Hombres (044)",30742,595,10870,8068,6007,3754,1448
"Jefe o Jefa (045)",11398,,32,2067,4810,3322,1167
"Esposa(o) / compañera(o) (046)",775,,23,272,282,148,50
"Hijo(a) / hijastro(a) (047)",14300,456,9057,4269,456,58,4
"Yerno / nuera (048)",329,,5,160,140,22,2
"Nieto(a) (049)",1135,103,872,151,9,,
"Padres / suegros (050)",186,,,1,5,40,140
"Otro(a) pariente (051)",1964,33,781,776,192,113,69
"Trabajador(a) del hogar (052)",23,,3,18,1,,1
"Pensionistas (053)",34,,2,25,3,4,
"Otro(a) no pariente (054)",598,3,95,329,109,47,15
"Mujeres (055)",32709,593,10473,8987,6643,4007,2006
"Jefe o Jefa (056)",4869,,58,1061,1552,1367,831
"Esposa(o) / compañera(o) (057)",9368,,14,2351,4190,2244,569
"Hijo(a) / hijastro(a) (058)",13832,445,8806,3988,509,81,3
"Yerno / nuera (059)",324,,5,244,70,5,
"Nieto(a) (060)",1035,108,798,122,7,,
"Padres / suegros (061)",591,,,,6,130,455
"Otro(a) pariente (062)",1923,37,683,751,202,130,120
"Trabajador(a) del hogar (063)",191,,10,160,13,7,1
"Pensionistas (064)",40,,4,28,6,2,
"Otro(a) no pariente (065)",536,3,95,282,88,41,27
,,,,,,,
"RURAL (066)",79060,1572,29550,18436,13007,10332,6163
"Jefe o Jefa (067)",19843,,34,3308,6594,6124,3783
"Esposa(o) / compañera(o) (068)",13932,,33,3625,5283,3638,1353
"Hijo(a) / hijastro(a) (069)",38776,1259,26483,10065,792,168,9
"Yerno / nuera (070)",657,,9,531,111,3,3
"Nieto(a) (071)",2497,250,1937,299,11,,
"Padres / suegros (072)",968,,,,8,180,780
"Otro(a) pariente (073)",2190,61,1012,531,180,188,218
"Trabajador(a) del hogar (074)",18,,1,12,2,2,1
"Pensionistas (075)",4,,1,1,1,1,
"Otro(a) no pariente (076)",175,2,40,64,25,28,16
"Hombres (077)",38620,773,15150,9149,6247,4744,2557
"Jefe o Jefa (078)",15061,,15,2836,5570,4424,2216
"Esposa(o) / compañera(o) (079)",524,,18,137,170,130,69
"Hijo(a) / hijastro(a) (080)",19957,599,13553,5442,316,45,2
"Yerno / nuera (081)",320,,4,235,77,2,2
"Nieto(a) (082)",1302,135,1008,151,8,,
"Padres / suegros (083)",241,,,,3,47,191
"Otro(a) pariente (084)",1094,37,527,296,88,76,70
"Trabajador(a) del hogar (085)",5,,,5,,,
"Pensionistas (086)",4,,1,1,1,1,
"Otro(a) no pariente (087)",112,2,24,46,14,19,7
"Mujeres (088)",40440,799,14400,9287,6760,5588,3606
"Jefe o Jefa (089)",4782,,19,472,1024,1700,1567
"Esposa(o) / compañera(o) (090)",13408,,15,3488,5113,3508,1284
"Hijo(a) / hijastro(a) (091)",18819,660,12930,4623,476,123,7
"Yerno / nuera (092)",337,,5,296,34,1,1
"Nieto(a) (093)",1195,115,929,148,3,,
"Padres / suegros (094)",727,,,,5,133,589
