"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",13962,178,5309,4552,1504,532,248,93,15,,1531
"Sin Nivel (001)",4552,74,1759,1453,481,188,89,43,10,,455
"Educación Inicial (002)",7,,4,1,2,,,,,,
"Primaria (003)",6371,85,2710,2064,563,199,97,33,4,,616
"Secundaria (004)",1602,15,605,549,158,46,22,4,1,,202
"Sup. no Univ. Incompleta (005)",344,1,84,128,52,9,5,2,,,63
"Sup. no Univ. Completa (006)",607,2,93,214,130,36,19,6,,,107
"Sup. Univ. Incompleta (007)",130,1,19,44,24,12,2,,,,28
"Sup. Univ. Completa (008)",349,,35,99,94,42,14,5,,,60
,,,,,,,,,,,
"URBANA (010)",5228,61,1742,1733,687,259,136,47,5,,558
"Sin Nivel (011)",1166,23,435,362,120,60,39,18,2,,107
"Educación Inicial (012)",2,,,,2,,,,,,
"Primaria (013)",1791,26,713,587,177,81,44,14,3,,146
"Secundaria (014)",1050,8,393,356,123,30,15,3,,,122
"Sup. no Univ. Incompleta (015)",284,1,71,113,43,8,4,2,,,42
"Sup. no Univ. Completa (016)",526,2,83,188,116,34,18,6,,,79
"Sup. Univ. Incompleta (017)",109,1,17,37,22,10,2,,,,20
"Sup. Univ. Completa (018)",300,,30,90,84,36,14,4,,,42
,,,,,,,,,,,
"RURAL (020)",8734,117,3567,2819,817,273,112,46,10,,973
"Sin Nivel (021)",3386,51,1324,1091,361,128,50,25,8,,348
"Educación Inicial (022)",5,,4,1,,,,,,,
"Primaria (023)",4580,59,1997,1477,386,118,53,19,1,,470
"Secundaria (024)",552,7,212,193,35,16,7,1,1,,80
"Sup. no Univ. Incompleta (025)",60,,13,15,9,1,1,,,,21
"Sup. no Univ. Completa (026)",81,,10,26,14,2,1,,,,28
"Sup. Univ. Incompleta (027)",21,,2,7,2,2,,,,,8
"Sup. Univ. Completa (028)",49,,5,9,10,6,,1,,,18
