"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia CELENDIN (000)",88508,87123,858,527
"Hombres (001)",43454,42903,285,266
"Mujeres (002)",45054,44220,573,261
"Menores de 1 año (003)",1728,1456,169,103
"Hombres (004)",845,708,75,62
"Mujeres (005)",883,748,94,41
"De 1 a 5 años (006)",10560,10024,184,352
"Hombres (007)",5283,5024,82,177
"Mujeres (008)",5277,5000,102,175
"De 6 a 14 años (009)",20941,20900,17,24
"Hombres (010)",10587,10564,10,13
"Mujeres (011)",10354,10336,7,11
"De 15 a 29 años (012)",22326,22272,44,10
"Hombres (013)",10950,10934,12,4
"Mujeres (014)",11376,11338,32,6
"De 30 a 44 años (015)",14995,14940,45,10
"Hombres (016)",7176,7156,18,2
"Mujeres (017)",7819,7784,27,8
"De 45 a 64 años (018)",11618,11492,116,10
"Hombres (019)",5628,5602,23,3
"Mujeres (020)",5990,5890,93,7
"De 65 a más años (021)",6340,6039,283,18
"Hombres (022)",2985,2915,65,5
"Mujeres (023)",3355,3124,218,13
,,,,
"URBANA (024)",22170,21912,163,95
"Hombres (025)",10657,10557,58,42
"Mujeres (026)",11513,11355,105,53
"Menores de 1 año (027)",360,301,45,14
"Hombres (028)",167,133,24,10
"Mujeres (029)",193,168,21,4
"De 1 a 5 años (030)",2217,2104,43,70
"Hombres (031)",1109,1065,16,28
"Mujeres (032)",1108,1039,27,42
"De 6 a 14 años (033)",4460,4450,5,5
"Hombres (034)",2261,2256,2,3
"Mujeres (035)",2199,2194,3,2
"De 15 a 29 años (036)",6026,6022,3,1
"Hombres (037)",2892,2892,,
"Mujeres (038)",3134,3130,3,1
"De 30 a 44 años (039)",4016,4008,8,
"Hombres (040)",1864,1862,2,
"Mujeres (041)",2152,2146,6,
"De 45 a 64 años (042)",3191,3174,15,2
"Hombres (043)",1481,1476,4,1
"Mujeres (044)",1710,1698,11,1
"De 65 a más años (045)",1900,1853,44,3
"Hombres (046)",883,873,10,
"Mujeres (047)",1017,980,34,3
,,,,
"RURAL (048)",66338,65211,695,432
"Hombres (049)",32797,32346,227,224
"Mujeres (050)",33541,32865,468,208
"Menores de 1 año (051)",1368,1155,124,89
"Hombres (052)",678,575,51,52
"Mujeres (053)",690,580,73,37
"De 1 a 5 años (054)",8343,7920,141,282
"Hombres (055)",4174,3959,66,149
"Mujeres (056)",4169,3961,75,133
"De 6 a 14 años (057)",16481,16450,12,19
"Hombres (058)",8326,8308,8,10
"Mujeres (059)",8155,8142,4,9
"De 15 a 29 años (060)",16300,16250,41,9
"Hombres (061)",8058,8042,12,4
"Mujeres (062)",8242,8208,29,5
"De 30 a 44 años (063)",10979,10932,37,10
"Hombres (064)",5312,5294,16,2
"Mujeres (065)",5667,5638,21,8
"De 45 a 64 años (066)",8427,8318,101,8
"Hombres (067)",4147,4126,19,2
"Mujeres (068)",4280,4192,82,6
"De 65 a más años (069)",4440,4186,239,15
"Hombres (070)",2102,2042,55,5
"Mujeres (071)",2338,2144,184,10
