"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia JULCAN (000)",16186,2599,5193,4303,4091
"Asiste actualmente (001)",8996,607,4851,3104,434
"No asiste (002)",7190,1992,342,1199,3657
"Hombres (004)",8182,1311,2588,2246,2037
"Asiste actualmente (005)",4691,326,2402,1693,270
"No asiste (006)",3491,985,186,553,1767
"Mujeres (008)",8004,1288,2605,2057,2054
"Asiste actualmente (009)",4305,281,2449,1411,164
"No asiste (010)",3699,1007,156,646,1890
,,,,,
"URBANA (012)",2154,315,655,662,522
"Asiste actualmente (013)",1423,116,629,573,105
"No asiste (014)",731,199,26,89,417
"Hombres (016)",1079,161,320,355,243
"Asiste actualmente (017)",737,57,308,315,57
"No asiste (018)",342,104,12,40,186
"Mujeres (020)",1075,154,335,307,279
"Asiste actualmente (021)",686,59,321,258,48
"No asiste (022)",389,95,14,49,231
,,,,,
"RURAL (024)",14032,2284,4538,3641,3569
"Asiste actualmente (025)",7573,491,4222,2531,329
"No asiste (026)",6459,1793,316,1110,3240
"Hombres (028)",7103,1150,2268,1891,1794
"Asiste actualmente (029)",3954,269,2094,1378,213
"No asiste (030)",3149,881,174,513,1581
"Mujeres (032)",6929,1134,2270,1750,1775
"Asiste actualmente (033)",3619,222,2128,1153,116
"No asiste (034)",3310,912,142,597,1659
