"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",6010,5581,1439,949,905,697,756,383,220,232,429,15190
"De 12 a 14 años (001)",532,528,525,1,2,,,,,,4,5
"De 15 a 19 años (002)",759,711,583,114,12,1,1,,,,48,145
"De 20 a 24 años (003)",754,625,151,334,108,26,5,1,,,129,654
"De 25 a 29 años (004)",702,621,43,216,218,101,42,1,,,81,1139
"De 30 a 34 años (005)",635,584,23,99,208,132,107,11,3,1,51,1476
"De 35 a 39 años (006)",538,521,16,47,141,140,134,36,5,2,17,1623
"De 40 a 44 años (007)",473,447,11,34,80,114,132,50,16,10,26,1664
"De 45 a 49 años (008)",409,386,21,28,44,70,113,72,27,11,23,1644
"De 50 y más años (009)",1208,1158,66,76,92,113,222,212,169,208,50,6840
"PEA (010)",1532,1349,231,254,288,201,203,92,43,37,183,3666
"De 12 a 14 años (011)",20,20,19,,1,,,,,,,2
"De 15 a 19 años (012)",116,106,95,9,2,,,,,,10,13
"De 20 a 24 años (013)",195,152,58,74,16,4,,,,,43,118
"De 25 a 29 años (014)",191,147,16,53,50,21,6,1,,,44,246
"De 30 a 34 años (015)",219,184,7,42,74,33,27,,1,,35,414
"De 35 a 39 años (016)",217,209,9,21,63,53,46,16,,1,8,612
"De 40 a 44 años (017)",183,170,5,20,36,40,46,15,5,3,13,574
"De 45 a 49 años (018)",154,141,9,11,28,25,37,21,8,2,13,527
"De 50 y más años (019)",237,220,13,24,18,25,41,39,29,31,17,1160
"Ocupada (020)",1464,1293,209,244,277,197,198,90,42,36,171,3570
"De 12 a 14 años (021)",18,18,17,,1,,,,,,,2
"De 15 a 19 años (022)",105,96,85,9,2,,,,,,9,13
"De 20 a 24 años (023)",178,141,50,71,16,4,,,,,37,115
