"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia YAUYOS (000)",23691,2468,660,9390,7722,916,1054,402,1079
"Jefe o Jefa (001)",7926,463,,3198,2672,333,458,167,635
"Esposa(o)/ compa¤era(o) (002)",3892,373,,1776,1271,114,177,40,141
"Hijo(a)/ hijastro(a) (003)",8892,1152,520,3423,2880,336,265,144,172
"Yerno/ nuera (004)",212,8,,31,113,23,19,6,12
"Nieto(a) (005)",1050,246,105,427,222,18,11,13,8
"Padres/ suegros (006)",249,77,,142,24,,2,,4
"Otro(a) pariente (007)",1162,130,32,335,430,77,73,25,60
"Trabajador(a) del hogar (008)",23,2,,2,18,1,,,
"Pensionista (009)",15,,,,3,2,3,,7
"Otro(a) no pariente (010)",270,17,3,56,89,12,46,7,40
"Hombres (012)",11978,881,336,4372,4396,537,564,251,641
"Jefe o Jefa (013)",5436,101,,2029,2110,257,343,132,464
"Esposa(o)/ compa¤era(o) (014)",330,8,,102,153,10,27,5,25
"Hijo(a)/ hijastro(a) (015)",4644,578,252,1740,1597,189,123,82,83
"Yerno/ nuera (016)",103,4,,9,55,14,10,4,7
"Nieto(a) (017)",577,131,61,236,124,13,4,6,2
"Padres/ suegros (018)",71,4,,45,18,,1,,3
"Otro(a) pariente (019)",637,47,21,176,270,44,30,18,31
"Trabajador(a) del hogar (020)",5,,,2,3,,,,
"Pensionista (021)",6,,,,3,,,,3
"Otro(a) no pariente (022)",169,8,2,33,63,10,26,4,23
"Mujeres (024)",11713,1587,324,5018,3326,379,490,151,438
"Jefe o Jefa (025)",2490,362,,1169,562,76,115,35,171
"Esposa(o)/ compa¤era(o) (026)",3562,365,,1674,1118,104,150,35,116
"Hijo(a)/ hijastro(a) (027)",4248,574,268,1683,1283,147,142,62,89
"Yerno/ nuera (028)",109,4,,22,58,9,9,2,5
"Nieto(a) (029)",473,115,44,191,98,5,7,7,6
"Padres/ suegros (030)",178,73,,97,6,,1,,1
"Otro(a) pariente (031)",525,83,11,159,160,33,43,7,29
"Trabajador(a) del hogar (032)",18,2,,,15,1,,,
"Pensionista (033)",9,,,,,2,3,,4
"Otro(a) no pariente (034)",101,9,1,23,26,2,20,3,17
,,,,,,,,,
"URBANA (036)",14679,1240,425,5434,4981,661,819,298,821
"Jefe o Jefa (037)",4864,207,,1803,1653,239,341,132,489
"Esposa(o)/ compa¤era(o) (038)",2353,136,,1012,847,86,141,28,103
"Hijo(a)/ hijastro(a) (039)",5423,610,330,1968,1844,235,209,102,125
"Yerno/ nuera (040)",135,5,,17,74,12,15,3,9
"Nieto(a) (041)",708,151,73,278,162,16,11,9,8
"Padres/ suegros (042)",164,41,,98,19,,2,,4
"Otro(a) pariente (043)",809,76,20,215,310,68,59,17,44
"Trabajador(a) del hogar (044)",19,2,,2,14,1,,,
"Pensionista (045)",11,,,,,2,3,,6
"Otro(a) no pariente (046)",193,12,2,41,58,2,38,7,33
"Hombres (048)",7354,472,215,2447,2739,375,436,186,484
