"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia PUERTO INCA (000)",7097,791,6306
"Red pública dentro de la vivienda (001)",147,100,47
"Red pública fuera de la vivienda (002)",56,39,17
"Pilón de uso público (003)",50,33,17
"Camión - cisterna u otro similar (004)",2,,2
"Pozo (005)",1615,192,1423
"Río, acequia, manatial o similar (006)",5098,414,4684
"Vecino (007)",71,9,62
"Otro (008)",58,4,54
,,,
"URBANA (010)",1338,612,726
"Red pública dentro de la vivienda (011)",131,95,36
"Red pública fuera de la vivienda (012)",44,34,10
"Pilón de uso público (013)",27,25,2
"Pozo (015)",371,132,239
"Río, acequia, manatial o similar (016)",729,314,415
"Vecino (017)",27,9,18
"Otro (018)",9,3,6
,,,
"RURAL (020)",5759,179,5580
"Red pública dentro de la vivienda (021)",16,5,11
"Red pública fuera de la vivienda (022)",12,5,7
"Pilón de uso público (023)",23,8,15
"Camión - cisterna u otro similar (024)",2,,2
"Pozo (025)",1244,60,1184
"Río, acequia, manatial o similar (026)",4369,100,4269
"Vecino (027)",44,,44
"Otro (028)",49,1,48
