"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia MORROPON (000)",150650,35172,12558,4229,98826
"Quechua (001)",171,40,19,2,110
"Aymara (002)",20,8,4,5,6
"Asháninka (003)",10,3,4,2,3
"Otra lengua nativa (004)",143,26,12,10,96
"Castellano (005)",150065,35052,12510,4177,98455
"Idioma Extranjero (006)",32,2,,28,2
"Es Sordomudo/a (007)",209,41,9,5,154
"Hombres (009)",76386,16934,6304,2349,50896
"Quechua (010)",90,22,12,,56
"Aymara (011)",7,2,3,3,1
"Asháninka (012)",5,2,2,2,1
"Otra lengua nativa (013)",80,14,4,7,55
"Castellano (014)",76067,16867,6280,2323,50690
"Idioma Extranjero (015)",12,,,10,2
"Es Sordomudo/a (016)",125,27,3,4,91
"Mujeres (018)",74264,18238,6254,1880,47930
"Quechua (019)",81,18,7,2,54
"Aymara (020)",13,6,1,2,5
"Asháninka (021)",5,1,2,,2
"Otra lengua nativa (022)",63,12,8,3,41
"Castellano (023)",73998,18185,6230,1854,47765
"Idioma Extranjero (024)",20,2,,18,
"Es Sordomudo/a (025)",84,14,6,1,63
,,,,,
"URBANA (027)",86905,18544,10307,3542,54628
"Quechua (028)",155,36,17,2,100
"Aymara (029)",11,4,3,3,2
"Asháninka (030)",5,1,4,1,
"Otra lengua nativa (031)",86,14,12,9,51
"Castellano (032)",86523,18466,10266,3496,54409
"Idioma Extranjero (033)",32,2,,28,2
"Es Sordomudo/a (034)",93,21,5,3,64
"Hombres (036)",43412,8813,5097,1951,27636
"Quechua (037)",80,18,10,,52
"Aymara (038)",5,1,3,2,
"Asháninka (039)",2,,2,1,
"Otra lengua nativa (040)",48,9,4,7,28
"Castellano (041)",43207,8770,5076,1929,27515
"Idioma Extranjero (042)",12,,,10,2
"Es Sordomudo/a (043)",58,15,2,2,39
"Mujeres (045)",43493,9731,5210,1591,26992
"Quechua (046)",75,18,7,2,48
"Aymara (047)",6,3,,1,2
"Asháninka (048)",3,1,2,,
"Otra lengua nativa (049)",38,5,8,2,23
"Castellano (050)",43316,9696,5190,1567,26894
"Idioma Extranjero (051)",20,2,,18,
"Es Sordomudo/a (052)",35,6,3,1,25
,,,,,
"RURAL (054)",63745,16628,2251,687,44198
"Quechua (055)",16,4,2,,10
"Aymara (056)",9,4,1,2,4
"Asháninka (057)",5,2,,1,3
"Otra lengua nativa (058)",57,12,,1,45
"Castellano (059)",63542,16586,2244,681,44046
"Es Sordomudo/a (061)",116,20,4,2,90
"Hombres (063)",32974,8121,1207,398,23260
"Quechua (064)",10,4,2,,4
"Aymara (065)",2,1,,1,1
"Asháninka (066)",3,2,,1,1
"Otra lengua nativa (067)",32,5,,,27
"Castellano (068)",32860,8097,1204,394,23175
"Es Sordomudo/a (070)",67,12,1,2,52
"Mujeres (072)",30771,8507,1044,289,20938
"Quechua (073)",6,,,,6
"Aymara (074)",7,3,1,1,3
"Asháninka (075)",2,,,,2
"Otra lengua nativa (076)",25,7,,1,18
"Castellano (077)",30682,8489,1040,287,20871
"Es Sordomudo/a (079)",49,8,3,,38
