"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHUMBIVILCAS (000)",18283,230,7379,6051,1701,472,206,88,9,,2147
"Conviviente (001)",6451,89,2596,2140,567,138,49,20,1,,851
"Separado(a) (002)",673,12,277,222,69,25,15,4,2,,47
"Casado(a) (003)",8139,94,3599,2827,736,195,96,34,5,,553
"Viudo(a) (004)",2127,27,748,724,259,91,30,27,,,221
"Divorciado(a) (005)",104,1,39,31,11,1,2,1,,,18
"Soltero(a) (006)",789,7,120,107,59,22,14,2,1,,457
,,,,,,,,,,,
"URBANA (008)",4288,58,1562,1349,431,143,66,33,2,,644
"Conviviente (009)",1699,22,605,598,181,40,13,7,,,233
"Separado(a) (010)",249,4,99,75,23,15,6,3,,,24
"Casado(a) (011)",1649,24,678,537,161,58,35,13,1,,142
"Viudo(a) (012)",351,6,126,90,38,21,5,7,,,58
"Divorciado(a) (013)",36,,15,11,3,,1,1,,,5
"Soltero(a) (014)",304,2,39,38,25,9,6,2,1,,182
,,,,,,,,,,,
"RURAL (016)",13995,172,5817,4702,1270,329,140,55,7,,1503
"Conviviente (017)",4752,67,1991,1542,386,98,36,13,1,,618
"Separado(a) (018)",424,8,178,147,46,10,9,1,2,,23
"Casado(a) (019)",6490,70,2921,2290,575,137,61,21,4,,411
"Viudo(a) (020)",1776,21,622,634,221,70,25,20,,,163
"Divorciado(a) (021)",68,1,24,20,8,1,1,,,,13
"Soltero(a) (022)",485,5,81,69,34,13,8,,,,275
