"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia VICTOR FAJARDO (000)",13693,6740,186,149,5991,263,7,46,,311
"Hombres (001)",4939,3476,143,60,937,104,5,26,,188
"Mujeres (002)",8754,3264,43,89,5054,159,2,20,,123
"De 06 a 14 años (003)",5060,4838,,,99,53,,9,,61
"Hombres (004)",2524,2424,,,42,26,,7,,25
"Mujeres (005)",2536,2414,,,57,27,,2,,36
"De 15 a 29 años (006)",3182,1851,3,28,1219,,1,9,,71
"Hombres (007)",1254,1029,1,13,156,,1,5,,49
"Mujeres (008)",1928,822,2,15,1063,,,4,,22
"De 30 a 44 años (009)",1642,39,1,26,1516,,3,7,,50
"Hombres (010)",275,21,1,5,209,,2,4,,33
"Mujeres (011)",1367,18,,21,1307,,1,3,,17
"De 45 a 64 años (012)",1853,8,65,33,1657,9,3,10,,68
"Hombres (013)",350,2,45,16,231,4,2,5,,45
"Mujeres (014)",1503,6,20,17,1426,5,1,5,,23
"De 65 y más años (015)",1956,4,117,62,1500,201,,11,,61
"Hombres (016)",536,,96,26,299,74,,5,,36
"Mujeres (017)",1420,4,21,36,1201,127,,6,,25
,,,,,,,,,,
"AREA URBANA (018)",9956,5157,167,123,4124,184,6,32,,163
"Hombres (019)",3665,2646,129,47,660,67,4,20,,92
"Mujeres (020)",6291,2511,38,76,3464,117,2,12,,71
"De 06 a 14 años (021)",3770,3625,,,69,34,,6,,36
"Hombres (022)",1875,1808,,,29,17,,5,,16
"Mujeres (023)",1895,1817,,,40,17,,1,,20
"De 15 a 29 años (024)",2386,1498,3,26,812,,1,7,,39
"Hombres (025)",978,822,1,12,112,,1,5,,25
"Mujeres (026)",1408,676,2,14,700,,,2,,14
"De 30 a 44 años (027)",1168,26,,21,1085,,2,5,,29
"Hombres (028)",191,14,,3,155,,1,3,,15
"Mujeres (029)",977,12,,18,930,,1,2,,14
"De 45 a 64 años (030)",1260,7,58,27,1119,5,3,6,,35
"Hombres (031)",245,2,40,13,159,1,2,4,,24
"Mujeres (032)",1015,5,18,14,960,4,1,2,,11
"De 65 y más años (033)",1372,1,106,49,1039,145,,8,,24
"Hombres (034)",376,,88,19,205,49,,3,,12
"Mujeres (035)",996,1,18,30,834,96,,5,,12
,,,,,,,,,,
"AREA RURAL (036)",3737,1583,19,26,1867,79,1,14,,148
"Hombres (037)",1274,830,14,13,277,37,1,6,,96
"Mujeres (038)",2463,753,5,13,1590,42,,8,,52
"De 06 a 14 años (039)",1290,1213,,,30,19,,3,,25
"Hombres (040)",649,616,,,13,9,,2,,9
"Mujeres (041)",641,597,,,17,10,,1,,16
"De 15 a 29 años (042)",796,353,,2,407,,,2,,32
"Hombres (043)",276,207,,1,44,,,,,24
"Mujeres (044)",520,146,,1,363,,,2,,8
"De 30 a 44 años (045)",474,13,1,5,431,,1,2,,21
"Hombres (046)",84,7,1,2,54,,1,1,,18
"Mujeres (047)",390,6,,3,377,,,1,,3
"De 45 a 64 años (048)",593,1,7,6,538,4,,4,,33
"Hombres (049)",105,,5,3,72,3,,1,,21
"Mujeres (050)",488,1,2,3,466,1,,3,,12
"De 65 y más años (051)",584,3,11,13,461,56,,3,,37
"Hombres (052)",160,,8,7,94,25,,2,,24
"Mujeres (053)",424,3,3,6,367,31,,1,,13
