"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia LAURICOCHA (000)",34003,758,13518,7874,5508,4282,2063
"Casa independiente (001)",30361,665,12041,7010,4968,3805,1872
"Vivienda en casa de vecindad (004)",17,,2,5,4,6,
"Choza o cabaña (005)",3570,90,1453,848,524,466,189
"Vivienda improvisada (006)",10,,5,2,1,2,
"Local no destinado para hab.humana (007)",40,2,16,6,11,3,2
"Otro tipo (008)",5,1,1,3,,,
,,,,,,,
"URBANA (009)",7873,181,2815,1913,1346,1084,534
"Casa independiente (010)",7839,180,2806,1904,1339,1076,534
"Vivienda en casa de vecindad (013)",17,,2,5,4,6,
"Vivienda improvisada (015)",10,,5,2,1,2,
"Local no destinado para hab.humana (016)",3,,1,,2,,
"Otro tipo (017)",4,1,1,2,,,
,,,,,,,
"RURAL (018)",26130,577,10703,5961,4162,3198,1529
"Casa independiente (019)",22522,485,9235,5106,3629,2729,1338
"Choza o cabaña (023)",3570,90,1453,848,524,466,189
"Local no destinado para hab.humana (025)",37,2,15,6,9,3,2
"Otro tipo (026)",1,,,1,,,
