"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ABANCAY (000)",90364,32000,14880,2607,41103
"Quechua (001)",43425,17535,3203,653,22100
"Aymara (002)",189,43,42,5,103
"Asháninka (003)",15,7,2,5,6
"Otra lengua nativa (004)",32,16,2,2,14
"Castellano (005)",46510,14336,11619,1927,18777
"Idioma Extranjero (006)",41,1,4,15,21
"Es Sordomudo/a (007)",152,62,8,,82
"Hombres (009)",44682,14660,7187,1427,21534
"Quechua (010)",21084,7556,1583,348,11638
"Aymara (011)",91,15,23,3,52
"Asháninka (012)",9,3,2,3,4
"Otra lengua nativa (013)",13,8,1,2,4
"Castellano (014)",23391,7053,5570,1063,9783
"Idioma Extranjero (015)",23,,3,8,12
"Es Sordomudo/a (016)",71,25,5,,41
"Mujeres (018)",45682,17340,7693,1180,19569
"Quechua (019)",22341,9979,1620,305,10462
"Aymara (020)",98,28,19,2,51
"Asháninka (021)",6,4,,2,2
"Otra lengua nativa (022)",19,8,1,,10
"Castellano (023)",23119,7283,6049,864,8994
"Idioma Extranjero (024)",18,1,1,7,9
"Es Sordomudo/a (025)",81,37,3,,41
,,,,,
"URBANA (027)",57445,14332,14176,2316,26808
"Quechua (028)",18274,4300,2897,518,10601
"Aymara (029)",167,32,42,4,92
"Asháninka (030)",10,4,2,3,4
"Otra lengua nativa (031)",21,7,2,,12
"Castellano (032)",38869,9961,11222,1776,16049
"Idioma Extranjero (033)",40,1,4,15,20
"Es Sordomudo/a (034)",64,27,7,,30
"Hombres (036)",27904,6478,6817,1283,13434
"Quechua (037)",8455,1626,1415,278,5168
"Aymara (038)",80,11,23,3,45
"Asháninka (039)",6,1,2,2,3
"Otra lengua nativa (040)",8,4,1,,3
"Castellano (041)",19307,4829,5369,992,8189
"Idioma Extranjero (042)",22,,3,8,11
"Es Sordomudo/a (043)",26,7,4,,15
"Mujeres (045)",29541,7854,7359,1033,13374
"Quechua (046)",9819,2674,1482,240,5433
"Aymara (047)",87,21,19,1,47
"Asháninka (048)",4,3,,1,1
"Otra lengua nativa (049)",13,3,1,,9
"Castellano (050)",19562,5132,5853,784,7860
"Idioma Extranjero (051)",18,1,1,7,9
"Es Sordomudo/a (052)",38,20,3,,15
,,,,,
"RURAL (054)",32919,17668,704,291,14295
"Quechua (055)",25151,13235,306,135,11499
"Aymara (056)",22,11,,1,11
"Asháninka (057)",5,3,,2,2
"Otra lengua nativa (058)",11,9,,2,2
"Castellano (059)",7641,4375,397,151,2728
"Idioma Extranjero (060)",1,,,,1
"Es Sordomudo/a (061)",88,35,1,,52
"Hombres (063)",16778,8182,370,144,8100
"Quechua (064)",12629,5930,168,70,6470
"Aymara (065)",11,4,,,7
"Asháninka (066)",3,2,,1,1
"Otra lengua nativa (067)",5,4,,2,1
"Castellano (068)",4084,2224,201,71,1594
"Idioma Extranjero (069)",1,,,,1
"Es Sordomudo/a (070)",45,18,1,,26
"Mujeres (072)",16141,9486,334,147,6195
"Quechua (073)",12522,7305,138,65,5029
"Aymara (074)",11,7,,1,4
"Asháninka (075)",2,1,,1,1
"Otra lengua nativa (076)",6,5,,,1
"Castellano (077)",3557,2151,196,80,1134
"Es Sordomudo/a (079)",43,17,,,26
