"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia AIJA (000)",7445,363,1856,1254,973,858,740,492,909
"Quechua (001)",2807,90,514,393,359,346,333,256,516
"Aymara (002)",3,,1,,,1,,,1
"Otra lengua nativa (004)",4,,2,,,,,1,1
"Castellano (005)",4623,273,1337,858,613,511,405,235,391
"Es sordomudo/a (007)",8,,2,3,1,,2,,
"Hombres (009)",3719,191,954,623,498,425,361,236,431
"Quechua (010)",1343,47,255,190,182,159,159,120,231
"Aymara (011)",1,,,,,1,,,
"Otra lengua nativa (013)",3,,1,,,,,1,1
"Castellano (014)",2370,144,697,433,316,265,201,115,199
"Es sordomudo/a (016)",2,,1,,,,1,,
"Mujeres (018)",3726,172,902,631,475,433,379,256,478
"Quechua (019)",1464,43,259,203,177,187,174,136,285
"Aymara (020)",2,,1,,,,,,1
"Otra lengua nativa (022)",1,,1,,,,,,
"Castellano (023)",2253,129,640,425,297,246,204,120,192
"Es sordomudo/a (025)",6,,1,3,1,,1,,
,,,,,,,,,
"URBANA (027)",2376,95,526,356,320,290,259,171,359
"Quechua (028)",359,1,24,25,31,51,59,46,122
"Aymara (029)",1,,1,,,,,,
"Otra lengua nativa (031)",4,,2,,,,,1,1
"Castellano (032)",2012,94,499,331,289,239,200,124,236
"Hombres (036)",1176,54,269,172,152,144,120,86,179
"Quechua (037)",170,,14,13,19,22,26,23,53
"Otra lengua nativa (040)",3,,1,,,,,1,1
"Castellano (041)",1003,54,254,159,133,122,94,62,125
"Mujeres (045)",1200,41,257,184,168,146,139,85,180
"Quechua (046)",189,1,10,12,12,29,33,23,69
"Aymara (047)",1,,1,,,,,,
"Otra lengua nativa (049)",1,,1,,,,,,
"Castellano (050)",1009,40,245,172,156,117,106,62,111
,,,,,,,,,
"RURAL (054)",5069,268,1330,898,653,568,481,321,550
"Quechua (055)",2448,89,490,368,328,295,274,210,394
"Aymara (056)",2,,,,,1,,,1
"Castellano (059)",2611,179,838,527,324,272,205,111,155
"Es sordomudo/a (061)",8,,2,3,1,,2,,
"Hombres (063)",2543,137,685,451,346,281,241,150,252
"Quechua (064)",1173,47,241,177,163,137,133,97,178
"Aymara (065)",1,,,,,1,,,
"Castellano (068)",1367,90,443,274,183,143,107,53,74
"Es sordomudo/a (070)",2,,1,,,,1,,
"Mujeres (072)",2526,131,645,447,307,287,240,171,298
"Quechua (073)",1275,42,249,191,165,158,141,113,216
"Aymara (074)",1,,,,,,,,1
"Castellano (077)",1244,89,395,253,141,129,98,58,81
"Es sordomudo/a (079)",6,,1,3,1,,1,,
