"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CAJABAMBA (000)",931,103,520,187,89,32
"Sin nivel (001)",83,16,22,22,16,7
"Primaria (003)",591,86,321,102,58,24
"Secundaria (004)",160,1,115,35,8,1
"Superior no univ. incompleta (005)",17,,13,4,,
"Superior no univ. completa (006)",57,,40,13,4,
"Superior univ. incompleta (007)",3,,1,1,1,
"Superior univ. completa (008)",20,,8,10,2,
"Hombres (010)",685,60,362,154,79,30
"Sin nivel (011)",61,10,15,18,12,6
"Primaria (013)",434,49,218,88,56,23
"Secundaria (014)",135,1,96,30,7,1
"Superior no univ. incompleta (015)",13,,9,4,,
"Superior no univ. completa (016)",31,,21,7,3,
"Superior univ. incompleta (017)",1,,,1,,
"Superior univ. completa (018)",10,,3,6,1,
"Mujeres (020)",246,43,158,33,10,2
"Sin nivel (021)",22,6,7,4,4,1
"Primaria (023)",157,37,103,14,2,1
"Secundaria (024)",25,,19,5,1,
"Superior no univ. incompleta (025)",4,,4,,,
"Superior no univ. completa (026)",26,,19,6,1,
"Superior univ. incompleta (027)",2,,1,,1,
"Superior univ. completa (028)",10,,5,4,1,
,,,,,,
"Area Urbana (030)",288,5,147,88,37,11
"Sin nivel (031)",17,1,4,6,4,2
"Primaria (033)",100,4,39,29,20,8
"Secundaria (034)",90,,57,26,6,1
"Superior no univ. incompleta (035)",13,,9,4,,
"Superior no univ. completa (036)",46,,30,12,4,
"Superior univ. incompleta (037)",3,,1,1,1,
"Superior univ. completa (038)",19,,7,10,2,
"Hombres (040)",217,4,108,65,31,9
"Sin nivel (041)",14,1,4,4,4,1
"Primaria (043)",79,3,30,21,18,7
"Secundaria (044)",79,,50,23,5,1
"Superior no univ. incompleta (045)",10,,6,4,,
"Superior no univ. completa (046)",25,,16,6,3,
"Superior univ. incompleta (047)",1,,,1,,
"Superior univ. completa (048)",9,,2,6,1,
"Mujeres (050)",71,1,39,23,6,2
"Sin nivel (051)",3,,,2,,1
"Primaria (053)",21,1,9,8,2,1
"Secundaria (054)",11,,7,3,1,
"Superior no univ. incompleta (055)",3,,3,,,
"Superior no univ. completa (056)",21,,14,6,1,
"Superior univ. incompleta (057)",2,,1,,1,
"Superior univ. completa (058)",10,,5,4,1,
,,,,,,
"Area Rural (060)",643,98,373,99,52,21
"Sin nivel (061)",66,15,18,16,12,5
"Primaria (063)",491,82,282,73,38,16
"Secundaria (064)",70,1,58,9,2,
"Superior no univ. incompleta (065)",4,,4,,,
"Superior no univ. completa (066)",11,,10,1,,
"Superior univ. completa (068)",1,,1,,,
"Hombres (070)",468,56,254,89,48,21
"Sin nivel (071)",47,9,11,14,8,5
"Primaria (073)",355,46,188,67,38,16
"Secundaria (074)",56,1,46,7,2,
"Superior no univ. incompleta (075)",3,,3,,,
"Superior no univ. completa (076)",6,,5,1,,
"Superior univ. completa (078)",1,,1,,,
"Mujeres (080)",175,42,119,10,4,
"Sin nivel (081)",19,6,7,2,4,
"Primaria (083)",136,36,94,6,,
"Secundaria (084)",14,,12,2,,
"Superior no univ. incompleta (085)",1,,1,,,
"Superior no univ. completa (086)",5,,5,,,
