"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ISLAY (000)",47286,8359,12764,11667,9675,4821
"Hombres (001)",24303,4170,6468,5945,5169,2551
"Mujeres (002)",22983,4189,6296,5722,4506,2270
"PEA (003)",22701,145,6241,8480,6430,1405
"Hombres (004)",14643,97,3910,5332,4278,1026
"Mujeres (005)",8058,48,2331,3148,2152,379
"Ocupada (006)",21271,138,5648,8021,6110,1354
"Hombres (007)",13627,93,3512,5000,4039,983
"Mujeres (008)",7644,45,2136,3021,2071,371
"Desocupada (009)",1430,7,593,459,320,51
"Hombres (010)",1016,4,398,332,239,43
"Mujeres (011)",414,3,195,127,81,8
"No PEA (012)",24585,8214,6523,3187,3245,3416
"Hombres (013)",9660,4073,2558,613,891,1525
"Mujeres (014)",14925,4141,3965,2574,2354,1891
,,,,,,
"URBANA (018)",42846,7634,11517,10487,8792,4416
"Hombres (019)",21649,3790,5713,5212,4618,2316
"Mujeres (020)",21197,3844,5804,5275,4174,2100
"PEA (021)",20071,110,5480,7537,5750,1194
"Hombres (022)",12706,70,3359,4649,3768,860
"Mujeres (023)",7365,40,2121,2888,1982,334
"Ocupada (024)",18750,103,4924,7123,5453,1147
"Hombres (025)",11770,66,2987,4351,3545,821
"Mujeres (026)",6980,37,1937,2772,1908,326
"Desocupada (027)",1321,7,556,414,297,47
"Hombres (028)",936,4,372,298,223,39
"Mujeres (029)",385,3,184,116,74,8
"No PEA (030)",22775,7524,6037,2950,3042,3222
"Hombres (031)",8943,3720,2354,563,850,1456
"Mujeres (032)",13832,3804,3683,2387,2192,1766
,,,,,,
"RURAL (036)",4440,725,1247,1180,883,405
"Hombres (037)",2654,380,755,733,551,235
"Mujeres (038)",1786,345,492,447,332,170
"PEA (039)",2630,35,761,943,680,211
"Hombres (040)",1937,27,551,683,510,166
"Mujeres (041)",693,8,210,260,170,45
"Ocupada (042)",2521,35,724,898,657,207
"Hombres (043)",1857,27,525,649,494,162
"Mujeres (044)",664,8,199,249,163,45
"Desocupada (045)",109,,37,45,23,4
"Hombres (046)",80,,26,34,16,4
"Mujeres (047)",29,,11,11,7,
"No PEA (048)",1810,690,486,237,203,194
"Hombres (049)",717,353,204,50,41,69
"Mujeres (050)",1093,337,282,187,162,125
