"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia TAHUAMANU (000)",2312,2215,10,526,498,364,461,218,90,48,97,7342
"De 12 a 14 años (001)",6,3,,2,1,,,,,,3,4
"De 15 a 19 años (002)",112,97,2,82,13,,,,,,15,108
"De 20 a 24 años (003)",349,317,3,193,91,26,3,1,,,32,472
"De 25 a 29 años (004)",373,348,1,134,130,64,19,,,,25,666
"De 30 a 34 años (005)",329,322,1,59,107,74,71,9,1,,7,867
"De 35 a 39 años (006)",310,303,1,26,73,76,104,19,3,1,7,1016
"De 40 a 44 años (007)",241,239,1,11,36,48,98,33,10,2,2,974
"De 45 a 49 años (008)",168,164,1,5,15,28,63,36,11,5,4,786
"De 50 y más años (009)",424,422,,14,32,48,103,120,65,40,2,2449
"Conviviente (010)",1292,1254,6,350,327,213,229,83,30,16,38,3620
"De 12 a 14 años (011)",6,3,,2,1,,,,,,3,4
"De 15 a 19 años (012)",88,73,1,60,12,,,,,,15,84
"De 20 a 24 años (013)",252,240,2,142,70,24,2,,,,12,363
"De 25 a 29 años (014)",261,257,1,86,100,55,15,,,,4,515
"De 30 a 34 años (015)",208,207,,34,69,51,45,7,1,,1,572
"De 35 a 39 años (016)",188,186,1,15,40,45,68,16,1,,2,641
"De 40 a 44 años (017)",114,113,,5,17,18,52,16,5,,1,468
"De 45 a 49 años (018)",63,63,1,,9,8,25,12,6,2,,306
"De 50 y más años (019)",112,112,,6,9,12,22,32,17,14,,667
"Separado(a) (020)",125,124,,25,28,18,30,15,7,1,1,435
"De 15 a 19 años (022)",4,4,,4,,,,,,,,4
"De 20 a 24 años (023)",15,15,,8,6,,,1,,,,26
"De 25 a 29 años (024)",13,13,,8,4,1,,,,,,19
"De 30 a 34 años (025)",12,12,,1,6,4,,1,,,,31
