"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia ASUNCION (000)",2551,12,79,226,327,477,870,560
"De 15 a 19 años (002)",48,,,,,,27,21
"De 20 a 24 años (003)",219,,,,,,129,90
"De 25 a 29 años (004)",273,,,,,11,187,75
"De 30 a 34 años (005)",284,,,,,29,205,50
"De 35 a 39 años (006)",290,,,,1,76,176,37
"De 40 a 44 años (007)",211,,,,5,85,94,27
"De 45 a 49 años (008)",201,,,2,25,105,49,20
"De 50 y más años (009)",1025,12,79,224,296,171,3,240
"PEA (010)",509,,4,17,46,87,211,144
"De 15 a 19 años (012)",9,,,,,,5,4
"De 20 a 24 años (013)",53,,,,,,24,29
"De 25 a 29 años (014)",77,,,,,1,49,27
"De 30 a 34 años (015)",83,,,,,8,51,24
"De 35 a 39 años (016)",82,,,,,18,51,13
"De 40 a 44 años (017)",51,,,,1,21,21,8
"De 45 a 49 años (018)",46,,,1,9,20,8,8
"De 50 y más años (019)",108,,4,16,36,19,2,31
"Ocupada (020)",496,,4,17,46,86,204,139
"De 15 a 19 años (022)",9,,,,,,5,4
"De 20 a 24 años (023)",51,,,,,,23,28
"De 25 a 29 años (024)",73,,,,,1,48,24
"De 30 a 34 años (025)",83,,,,,8,51,24
"De 35 a 39 años (026)",78,,,,,18,47,13
"De 40 a 44 años (027)",50,,,,1,21,20,8
"De 45 a 49 años (028)",46,,,1,9,20,8,8
"De 50 y más años (029)",106,,4,16,36,18,2,30
"Desocupada (030)",13,,,,,1,7,5
"De 20 a 24 años (033)",2,,,,,,1,1
"De 25 a 29 años (034)",4,,,,,,1,3
"De 35 a 39 años (036)",4,,,,,,4,
"De 40 a 44 años (037)",1,,,,,,1,
"De 50 y más años (039)",2,,,,,1,,1
"No PEA (040)",2042,12,75,209,281,390,659,416
"De 15 a 19 años (042)",39,,,,,,22,17
"De 20 a 24 años (043)",166,,,,,,105,61
"De 25 a 29 años (044)",196,,,,,10,138,48
"De 30 a 34 años (045)",201,,,,,21,154,26
"De 35 a 39 años (046)",208,,,,1,58,125,24
"De 40 a 44 años (047)",160,,,,4,64,73,19
"De 45 a 49 años (048)",155,,,1,16,85,41,12
"De 50 y más años (049)",917,12,75,208,260,152,1,209
,,,,,,,,
"URBANA (060)",612,1,19,25,56,105,269,137
"De 15 a 19 años (062)",7,,,,,,5,2
"De 20 a 24 años (063)",54,,,,,,37,17
"De 25 a 29 años (064)",104,,,,,2,70,32
"De 30 a 34 años (065)",100,,,,,12,64,24
"De 35 a 39 años (066)",105,,,,,27,65,13
"De 40 a 44 años (067)",50,,,,,24,21,5
