"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia TACNA (000)",235441,43499,78702,61226,39728,12286
"Sin nivel (001)",8396,584,447,1715,3061,2589
"Educación inicial (002)",4064,3851,150,63,,
"Primaria (003)",56744,28796,3618,8786,10771,4773
"Secundaria (004)",87474,10268,40925,22234,11573,2474
"Superior no univ. incompleta (005)",15583,,9364,4301,1689,229
"Superior no univ. completa (006)",18907,,6210,8082,3886,729
"Superior univ. incompleta (007)",18564,,11447,4495,2305,317
"Superior univ. completa (008)",25709,,6541,11550,6443,1175
"PEA (010)",121305,827,40596,47701,28205,3976
"Sin nivel (011)",3582,7,160,1058,1637,720
"Educación inicial (012)",101,15,51,35,,
"Primaria (013)",17304,399,1951,5897,7294,1763
"Secundaria (014)",46653,406,19909,17151,8431,756
"Superior no univ. incompleta (015)",9539,,4764,3408,1278,89
"Superior no univ. completa (016)",14162,,4667,6587,2718,190
"Superior univ. incompleta (017)",9651,,4104,3625,1816,106
"Superior univ. completa (018)",20313,,4990,9940,5031,352
"Ocupada (020)",113629,780,36752,45283,27001,3813
"Sin nivel (021)",3379,7,132,994,1561,685
"Educación inicial (022)",88,14,42,32,,
"Primaria (023)",16196,381,1763,5492,6873,1687
"Secundaria (024)",43103,378,17834,16130,8031,730
"Superior no univ. incompleta (025)",8941,,4362,3258,1235,86
"Superior no univ. completa (026)",13442,,4316,6314,2632,180
"Superior univ. incompleta (027)",9095,,3757,3483,1753,102
