"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia ACOMAYO (000)",12858,2201,4665,3269,2723
"Asiste actualmente (001)",9769,1180,4468,3075,1046
"No asiste (002)",3089,1021,197,194,1677
"Hombres (004)",6611,1127,2369,1700,1415
"Asiste actualmente (005)",5100,576,2278,1610,636
"No asiste (006)",1511,551,91,90,779
"Mujeres (008)",6247,1074,2296,1569,1308
"Asiste actualmente (009)",4669,604,2190,1465,410
"No asiste (010)",1578,470,106,104,898
,,,,,
"URBANA (012)",6652,1121,2363,1780,1388
"Asiste actualmente (013)",5157,606,2265,1688,598
"No asiste (014)",1495,515,98,92,790
"Hombres (016)",3408,565,1214,925,704
"Asiste actualmente (017)",2684,293,1166,883,342
"No asiste (018)",724,272,48,42,362
"Mujeres (020)",3244,556,1149,855,684
"Asiste actualmente (021)",2473,313,1099,805,256
"No asiste (022)",771,243,50,50,428
,,,,,
"RURAL (024)",6206,1080,2302,1489,1335
"Asiste actualmente (025)",4612,574,2203,1387,448
"No asiste (026)",1594,506,99,102,887
"Hombres (028)",3203,562,1155,775,711
"Asiste actualmente (029)",2416,283,1112,727,294
"No asiste (030)",787,279,43,48,417
"Mujeres (032)",3003,518,1147,714,624
"Asiste actualmente (033)",2196,291,1091,660,154
"No asiste (034)",807,227,56,54,470
