"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SANTA CRUZ (000)",43856,12840,3478,663,26918
"Menos de 1 año (001)",715,538,53,5,120
"De 1 a 14 años (002)",14476,9521,1268,224,3482
"De 15 a 29 años (003)",9858,1732,341,82,7709
"De 30 a 44 años (004)",7981,504,837,121,6529
"De 45 a 64 años (005)",6699,347,645,123,5588
"De 65 y mas años (006)",4127,198,334,108,3490
"Hombres (008)",22012,6386,1783,365,13498
"Menos de 1 año (009)",361,274,28,4,56
"De 1 a 14 años (010)",7430,4888,665,100,1784
"De 15 a 29 años (011)",5137,810,185,44,4099
"De 30 a 44 años (012)",3855,183,365,83,3231
"De 45 a 64 años (013)",3190,141,353,79,2619
"De 65 y mas años (014)",2039,90,187,55,1709
"Mujeres (016)",21844,6454,1695,298,13420
"Menos de 1 año (017)",354,264,25,1,64
"De 1 a 14 años (018)",7046,4633,603,124,1698
"De 15 a 29 años (019)",4721,922,156,38,3610
"De 30 a 44 años (020)",4126,321,472,38,3298
"De 45 a 64 años (021)",3509,206,292,44,2969
"De 65 y mas años (022)",2088,108,147,53,1781
,,,,,
"URBANA (024)",9192,1914,2114,337,4857
"Menos de 1 año (025)",147,74,34,3,37
"De 1 a 14 años (026)",2732,1264,750,73,655
"De 15 a 29 años (027)",2097,321,220,42,1519
"De 30 a 44 años (028)",2031,111,582,100,1246
"De 45 a 64 años (029)",1430,87,405,78,863
"De 65 y mas años (030)",755,57,123,41,537
"Hombres (032)",4565,922,1066,203,2388
"Menos de 1 año (033)",75,37,18,3,18
"De 1 a 14 años (034)",1387,643,391,32,324
"De 15 a 29 años (035)",1009,132,113,23,742
"De 30 a 44 años (036)",993,45,256,73,625
"De 45 a 64 años (037)",731,36,224,54,418
"De 65 y mas años (038)",370,29,64,18,261
"Mujeres (040)",4627,992,1048,134,2469
"Menos de 1 año (041)",72,37,16,,19
"De 1 a 14 años (042)",1345,621,359,41,331
"De 15 a 29 años (043)",1088,189,107,19,777
"De 30 a 44 años (044)",1038,66,326,27,621
"De 45 a 64 años (045)",699,51,181,24,445
"De 65 y mas años (046)",385,28,59,23,276
,,,,,
"RURAL (048)",34664,10926,1364,326,22061
"Menos de 1 año (049)",568,464,19,2,83
"De 1 a 14 años (050)",11744,8257,518,151,2827
"De 15 a 29 años (051)",7761,1411,121,40,6190
"De 30 a 44 años (052)",5950,393,255,21,5283
"De 45 a 64 años (053)",5269,260,240,45,4725
"De 65 y mas años (054)",3372,141,211,67,2953
"Hombres (056)",17447,5464,717,162,11110
"Menos de 1 año (057)",286,237,10,1,38
"De 1 a 14 años (058)",6043,4245,274,68,1460
"De 15 a 29 años (059)",4128,678,72,21,3357
"De 30 a 44 años (060)",2862,138,109,10,2606
"De 45 a 64 años (061)",2459,105,129,25,2201
"De 65 y mas años (062)",1669,61,123,37,1448
"Mujeres (064)",17217,5462,647,164,10951
"Menos de 1 año (065)",282,227,9,1,45
"De 1 a 14 años (066)",5701,4012,244,83,1367
"De 15 a 29 años (067)",3633,733,49,19,2833
"De 30 a 44 años (068)",3088,255,146,11,2677
"De 45 a 64 años (069)",2810,155,111,20,2524
"De 65 y mas años (070)",1703,80,88,30,1505
